"Time [us]","Current(w1) [A]","Current(w2) [A]","Current(w4) [A]","Current(w6) [A]","Current(w2)+Current(w4)+Current(w6) [A]"
0,0,0,0,0,0
0.01,0.0627905195293134,-0.0323408289335838,0.00451814769683659,0.0278085890042021,-1.40922325451154e-05
0.02,0.125333233564304,-0.0743791267717682,0.0282576109165229,0.0461078461344511,-1.3669720794196e-05
0.03,0.187381314585725,-0.116746460308326,0.0531253277817706,0.0636075699777956,-1.35625487598101e-05
0.04,0.248689887164855,-0.158172339926516,0.0768607603592799,0.0812981779463846,-1.34016208515053e-05
0.05,0.309016994374947,-0.198578780797664,0.0995343665007315,0.0990312266163604,-1.31876805721104e-05
0.06,0.368124552684678,-0.237921608857641,0.12128059911642,0.116628088122979,-1.29216182419845e-05
0.07,0.425779291565073,-0.276107789227499,0.142134534901607,0.133960649819171,-1.26045067210256e-05
0.08,0.481753674101715,-0.313020756350396,0.16208025201001,0.150928266729388,-1.22376109980005e-05
0.09,0.535826794978997,-0.348536323180404,0.181080965598324,0.167443535194574,-1.18223875059942e-05
0.1,0.587785252292473,-0.382529473511938,0.199091421671427,0.183426691359478,-1.1360481033007e-05
0.11,0.63742398974869,-0.414877513663845,0.216063203681761,0.198803456263522,-1.08537185620206e-05
0.12,0.684547105928689,-0.445461848414892,0.231947396053603,0.21350414825775,-1.03041035389995e-05
0.13,0.728968627421411,-0.47416917349318,0.246696148744332,0.227463310941331,-9.71380751702e-06
0.14,0.770513242775789,-0.500892373068494,0.260263705178615,0.240619582727911,-9.08516196795883e-06
0.15,0.809016994374947,-0.525531232415832,0.272607127933369,0.252915683832993,-8.42064946998677e-06
0.16,0.844327925502015,-0.547993044125052,0.283686854778356,0.264298466452582,-7.72289411404836e-06
0.17,0.876306680043864,-0.568193116691043,0.293467125476935,0.274718996563545,-6.99465056303028e-06
0.18,0.90482705246602,-0.586055221990415,0.301916333956835,0.284132649239811,-6.23879376904224e-06
0.19,0.929776485888251,-0.601511978847833,0.309007313693114,0.292499206847188,-5.45830753101439e-06
0.2,0.951056516295154,-0.61450518232247,0.314717569866184,0.299782956183484,-4.65627280199499e-06
0.21,0.968583161128631,-0.624986089395095,0.319029478117578,0.305952775422126,-3.83585539104336e-06
0.22,0.982287250728689,-0.632915645486714,0.321930429940474,0.310982215252666,-3.00029357397369e-06
0.23,0.992114701314478,-0.638264674916357,0.323412956009392,0.314849566021484,-2.15288548094383e-06
0.24,0.998026728428272,-0.641014023297073,0.323474815164555,0.317537911156765,-1.2969757530179e-06
0.25,1,-0.641154653965031,0.322119050646138,0.319035167376239,-4.35942654031241e-07
0.26,0.998026728428272,-0.638687698282786,0.319354017561345,0.319334107536888,4.26815446985529e-07
0.27,0.992114701314478,-0.633624470842518,0.315193388344538,0.318432370391302,1.28789332193291e-06
0.28,0.982287250728689,-0.625986435567107,0.309656128491051,0.316332450968505,2.14389244901358e-06
0.29,0.968583161128631,-0.615805130640191,0.302766446449886,0.313041675624693,2.99143438792226e-06
0.3,0.951056516295154,-0.603122052276095,0.294553718018574,0.308572161431574,3.82717405295052e-06
0.31,0.929776485888251,-0.587988502933469,0.285052396440182,0.302940754306256,4.64781296893868e-06
0.32,0.904827052466019,-0.570465388884055,0.274301885526965,0.296168953469407,5.45011231706249e-06
0.33,0.876306680043864,-0.55062299129547,0.262346404141561,0.288282818059536,6.23090562701378e-06
0.34,0.844327925502015,-0.528540690548983,0.249234821241246,0.279312856418964,6.98711122693041e-06
0.35,0.809016994374947,-0.504306658541257,0.235020475989257,0.269293898296786,7.71574478602988e-06
0.36,0.770513242775789,-0.478017514771133,0.219760976228736,0.258264952472794,8.41393039696658e-06
0.37,0.728968627421412,-0.449777947134483,0.203517978988532,0.246269047058584,9.07891263299265e-06
0.38,0.684547105928689,-0.419700302940398,0.186356955579636,0.233353055427706,9.70806694400306e-06
0.39,0.63742398974869,-0.387904147357861,0.168346938306617,0.219567507961588,1.02989103440143e-05
0.4,0.587785252292473,-0.354515796404012,0.149560257475841,0.204966388039024,1.08491108530284e-05
0.41,0.535826794978997,-0.319667816569667,0.130072255761802,0.189606917304926,1.13564970610214e-05
0.42,0.481753674101716,-0.283498506198691,0.109960998803373,0.173549326461774,1.18190664560314e-05
0.43,0.425779291565073,-0.246151351331711,0.0893069705882538,0.156856615736889,1.22349934318089e-05
0.44,0.368124552684678,-0.207774461499298,0.0681927600047684,0.139594304130841,1.26026363113929e-05
0.45,0.309016994374948,-0.168519983757457,0.0467027356555207,0.121830168646195,1.29205442587071e-05
0.46,0.248689887164855,-0.128543508639946,0.0249227186182606,0.103633977484185,1.31874624995781e-05
0.47,0.187381314585725,-0.0880034509342659,0.00293964312846395,0.0850772101435348,1.34023377328513e-05
0.48,0.125333233564305,-0.0470604329446727,-0.0191587805570669,0.0662327778232185,1.35643214789066e-05
0.49,0.0627905195293136,-0.0058766445019334,-0.0412844134305836,0.0471747307074132,1.36727748962021e-05
0.5,5.66553889764798e-16,0.0353847920232295,-0.063349032863501,0.0279779681100449,1.37272697733927e-05
0.51,-0.0627905195293129,0.0765604642006582,-0.0852646779789605,0.0087179413689472,1.3727590644887e-05
0.52,-0.125333233564304,0.117487316122001,-0.10694399749935,-0.0105296448859856,1.36737366653959e-05
0.53,-0.187381314585724,0.158003289718417,-0.128300592231561,-0.0296891315666983,1.35659201577001e-05
0.54,-0.248689887164855,0.197947962958819,-0.149249352911337,-0.0486852054810592,1.34045664227922e-05
0.55,-0.309016994374947,0.237163186538293,-0.169706799707978,-0.0674431965177912,1.31903125237948e-05
0.56,-0.368124552684678,0.275493698461703,-0.189591404654226,-0.0858893698037564,1.29240037206185e-05
0.57,-0.425779291565073,0.312787746528842,-0.208823918347492,-0.10395122149029,1.26066910599992e-05
0.58,-0.481753674101715,0.348897679765767,-0.227327678123773,-0.121557762015168,1.22396268260189e-05
0.59,-0.535826794978996,0.383680533294272,-0.245028911524392,-0.138639797510249,1.18242596310048e-05
0.6,-0.587785252292473,0.41699859184743,-0.261857026456213,-0.155130203162571,1.1362228645978e-05
0.61,-0.637423989748689,0.448719933762311,-0.277744889942608,-0.170964188462468,1.08553572350234e-05
0.62,-0.684547105928688,0.478718946444521,-0.292629090086641,-0.186079550711848,1.03056460319939e-05
0.63,-0.728968627421411,0.506876828976832,-0.306450188167607,-0.200416925545201,9.71526402396283e-06
0.64,-0.770513242775789,0.533082054612229,-0.319152952557147,-0.213920015513619,9.08654146303256e-06
0.65,-0.809016994374947,0.557230814046276,-0.330686576609,-0.226535815477704,8.42195957193037e-06
0.66,-0.844327925502015,0.579227423991301,-0.341004875897212,-0.238214823953002,7.72414108698993e-06
0.67,-0.876306680043864,0.598984701713372,-0.350066473519896,-0.248911232353589,6.99583988703067e-06
0.68,-0.904827052466019,0.616424313854097,-0.35783496206088,-0.258583111862881,6.2399303359939e-06
0.69,-0.929776485888251,0.631477080521231,-0.364279045593505,-0.267192575532144,5.45939558199704e-06
0.7,-0.951056516295154,0.644083251167591,-0.369372665412106,-0.274705928439486,4.65731599902375e-06
0.710000000000001,-0.968583161128633,0.654192738124417,-0.373095099351148,-0.281093801916199,3.83685707006087e-06
0.720000000000001,-0.98228725072869,0.661765316777907,-0.37543104843164,-0.286331267089559,3.00125670793516e-06
0.730000000000001,-0.992114701314479,0.666770778690364,-0.376370688632177,-0.290397936245584,2.15381260304515e-06
0.740000000000001,-0.998026728428272,0.669189058132941,-0.37590971947096,-0.293278040792656,1.29786932501208e-06
0.750000000000001,-1,0.66901030385345,-0.374049372940125,-0.294960494108592,4.368047329395e-07
0.760000000000001,-0.998026728428271,0.666234923594397,-0.370796413407165,-0.295438936170121,-4.25982889074028e-07
0.770000000000001,-0.992114701314477,0.660873576252065,-0.366163106485471,-0.29471175685513,-1.28708853602832e-06
0.780000000000001,-0.982287250728688,0.652947136202319,-0.360167174961707,-0.292782104354448,-2.14311383600618e-06
0.790000000000001,-0.96858316112863,0.642486605482154,-0.352831724717432,-0.28965787144519,-2.99068046805129e-06
0.800000000000001,-0.951056516295152,0.629532993481012,-0.344185154706714,-0.285351665217777,-3.82644347901584e-06
0.810000000000001,-0.929776485888249,0.614137155472549,-0.334261047850245,-0.279880754726843,-4.64710453901285e-06
0.820000000000001,-0.904827052466017,0.596359589523808,-0.323098031770865,-0.273267007177776,-5.44942483304833e-06
0.830000000000001,-0.876306680043861,0.57627019964586,-0.310739633038389,-0.265536796845535,-6.2302380639534e-06
0.840000000000001,-0.844327925502012,0.55394802060627,-0.297234102058367,-0.256720905010493,-6.98646258995295e-06
0.850000000000001,-0.809016994374944,0.52948090207183,-0.28263422082726,-0.246854396358706,-7.71511413602544e-06
0.860000000000001,-0.770513242775786,0.502965164874921,-0.266997098220985,-0.235976479970882,-8.41331694595437e-06
0.870000000000001,-0.728968627421407,0.474505218724746,-0.250383940119712,-0.224130356920566,-9.07831553198513e-06
0.880000000000001,-0.684547105928684,0.44421315332335,-0.232859814232013,-0.211363046576846,-9.70748550899181e-06
0.890000000000001,-0.637423989748685,0.412208291791422,-0.214493385839096,-0.197725204296165,-1.02983438390047e-05
0.900000000000001,-0.587785252292468,0.378616723981906,-0.195356652831316,-0.183270919709272,-1.08485586820251e-05
0.910000000000001,-0.535826794978992,0.34357080255973,-0.175524656738917,-0.168057501779412,-1.13559585990242e-05
0.920000000000001,-0.48175367410171,0.307208626488434,-0.155075188652289,-0.152145256377241,-1.18185410959981e-05
0.930000000000001,-0.425779291565067,0.26967349395253,-0.134088484379275,-0.135597244053838,-1.22344805830177e-05
0.940000000000001,-0.368124552684673,0.231113335704824,-0.112646902007124,-0.118479035833325,-1.26021356249978e-05
0.950000000000001,-0.309016994374942,0.191680132282924,-0.0908346023022058,-0.10085845003587,-1.29200551518133e-05
0.960000000000001,-0.248689887164849,0.151529312698772,-0.0687372133897787,-0.0828052862936476,-1.3186984654287e-05
0.970000000000001,-0.187381314585719,0.110819142566956,-0.0464414949193704,-0.0643910495178941,-1.34018703084882e-05
0.980000000000001,-0.125333233564299,0.0697100986027396,-0.0240349918872614,-0.0456886705801893,-1.35638647110886e-05
0.99,-0.0627905195293133,0.028364235114058,-0.00160569289851719,-0.0267722145435948,-1.36723280539895e-05
1,-1.1331077795296e-15,-0.0130554549010661,0.020758317437942,-0.00771658936904792,-1.37268321720192e-05
1.01,0.0627905195293137,-0.0543856837216963,0.0429692089967783,0.011402747562274,-1.37271626439971e-05
1.02,0.125333233564303,-0.0954635142167364,0.0649397516767521,0.030510089222524,-1.36733174603033e-05
1.03,0.187381314585725,-0.136127001251099,0.0865836568277111,0.0495297789139741,-1.3565509413796e-05
1.04,0.248689887164854,-0.176215832676764,0.107815923184901,0.0683865053276233,-1.34041642396859e-05
1.05,0.309016994374946,-0.21557196048164,0.128553166957023,0.0870056036063886,-1.31899182283929e-05
1.06,0.368124552684677,-0.254040224054471,0.148713954483863,0.10531334595353,-1.29236170780395e-05
1.07,0.425779291565072,-0.291468967064291,0.168219123270523,0.123237237481718,-1.26063120499953e-05
1.08,0.481753674101715,-0.327710630306102,0.186992094285139,0.140706296765892,-1.22392550709893e-05
1.09,0.535826794978996,-0.362622337866664,0.204959171598085,0.157651342373662,-1.18238949169958e-05
1.1,0.587785252292473,-0.396066459290182,0.222049837704442,0.174005259715116,-1.13618706240326e-05
1.11,0.637423989748689,-0.427911152606535,0.238197027812027,0.189703269788513,-1.08550059949863e-05
1.12,0.684547105928689,-0.458030887389216,0.25333739899647,0.204683183091718,-1.03053010279686e-05
1.13,0.728968627421411,-0.486306937914748,0.267411576290246,0.218885646699164,-9.71492533802243e-06
1.14,0.770513242775789,-0.512627851172808,0.280364387813945,0.232254377150121,-9.08620874193189e-06
1.15,0.809016994374947,-0.536889887648795,0.292145082858882,0.244736383157256,-8.42163265696305e-06
1.16,0.844327925502014,-0.558997433404188,0.30270753572395,0.256282173860353,-7.72381988495274e-06
1.17,0.876306680043864,-0.578863372651733,0.31201042237665,0.266845954750965,-6.99552411803639e-06
1.18,0.904827052466019,-0.596409435756516,0.320017386618428,0.276385809518085,-6.23962000295686e-06
1.19,0.929776485888251,-0.61156650434795,0.326697181799125,0.284863863458483,-5.4590903419971e-06
1.2,0.951056516295153,-0.624274887671818,0.332023795891723,0.292246434764196,-4.65701589907885e-06
1.21,0.968583161128631,-0.63448455680394,0.335976554410974,0.298504165831108,-3.83656185798387e-06
1.22,0.982287250728688,-0.642155342468703,0.338540200131519,0.303612141370924,-3.00096625999169e-06
1.23,0.992114701314478,-0.647257091647129,0.339704954870023,0.30754998325027,-2.15352683596848e-06
1.24,0.998026728428272,-0.649769790228577,0.33946655799748,0.310301934643063,-1.29758803396607e-06
1.25,1,-0.649683638277336,0.337826281233263,0.311856920516215,-4.36527857972102e-07
1.26,0.998026728428272,-0.646999092614584,0.33479092925955,0.312208589610495,4.26255461039027e-07
1.27,0.992114701314478,-0.641726862761761,0.330372806688846,0.31135534342984,1.28735692495052e-06
1.28,0.982287250728689,-0.633887866683497,0.324589670912498,0.309300339149162,2.14337816306642e-06
1.29,0.968583161128632,-0.623513152869391,0.317464665436928,0.306051478373287,2.99094082395479e-06
1.3,0.951056516295154,-0.610643773987153,0.30902622400663,0.301621376680482,3.82669995901974e-06
