"Time [us]","Current(w1) [A]","Current(w2) [A]","Current(w4) [A]","Current(w6) [A]","Current(w2)+Current(w4)+Current(w6) [A]"
0,0,0,0,0,0
0.01,0.0627905195293134,-0.0922323981560398,-0.0587063393089986,-0.0255858383684966,-0.176524575833535
0.02,0.125333233564304,-0.17950319761207,-0.110507786122756,-0.0507409086200724,-0.340751892354898
0.03,0.187381314585725,-0.263002538272185,-0.156916039217822,-0.073125379373766,-0.493043956863773
0.04,0.248689887164855,-0.34274189684373,-0.198240772389609,-0.0924981824509747,-0.633480851684314
0.05,0.309016994374947,-0.418568362932888,-0.234621546925303,-0.108955408522264,-0.762145318380455
0.06,0.368124552684678,-0.490327822442915,-0.266187962926213,-0.122609696291225,-0.879125481660353
0.07,0.425779291565073,-0.557879092748383,-0.293074331361888,-0.13356378217156,-0.984517206281831
0.08,0.481753674101715,-0.621092016514329,-0.315418246199375,-0.141915948909175,-1.07842621162288
0.09,0.535826794978997,-0.67984648946993,-0.333359695152816,-0.147763795040063,-1.16096997966281
0.1,0.587785252292473,-0.734032623432088,-0.347041053650532,-0.151205779926897,-1.23227945700952
0.11,0.63742398974869,-0.783551333638112,-0.356607371151997,-0.152341857543786,-1.29250056233389
0.12,0.684547105928689,-0.828315039685971,-0.362206699416304,-0.151273764224965,-1.34179550332724
0.13,0.728968627421411,-0.868248367621895,-0.363990385250415,-0.148105154239344,-1.38034390711165
0.14,0.770513242775789,-0.903288810548145,-0.362113303126187,-0.142941648346612,-1.40834376202094
0.15,0.809016994374947,-0.933387333535751,-0.356734023967093,-0.135890830393975,-1.42601218789682
0.16,0.844327925502015,-0.958508906853069,-0.348014918301481,-0.127062198443548,-1.4335860235981
0.17,0.876306680043864,-0.978632973159672,-0.336122191576813,-0.116567082918956,-1.43132224765544
0.18,0.90482705246602,-0.993753837989502,-0.321225860023904,-0.104518533078526,-1.41949823109193
0.19,0.929776485888251,-1.00388098440399,-0.303499668186634,-0.0910311774226197,-1.39841183001324
0.2,0.951056516295154,-1.00903931046951,-0.283120945389494,-0.0762210561171989,-1.3683813119762
0.21,0.968583161128631,-1.00926929609636,-0.260270417574517,-0.0602054340706077,-1.32974514774148
0.22,0.982287250728689,-1.00462708334791,-0.235131963190976,-0.0431025891711659,-1.28286163571005
0.23,0.992114701314478,-0.995184493104455,-0.20789232783009,-0.0250315835686361,-1.22810840450318
0.24,0.998026728428272,-0.98102895434885,-0.178740796713472,-0.0061120160893966,-1.16588176715172
0.25,1,-0.962263367466178,-0.147868828396594,0.0135362413005366,-1.09659595456224
0.26,0.998026728428272,-0.939005891770527,-0.115469652498031,0.0337933204439622,-1.0206822238246
0.27,0.992114701314478,-0.911389659124764,-0.0817378398224343,0.0545396466417053,-0.938587852305493
0.28,0.982287250728689,-0.879562420823893,-0.0468688415458023,0.0756562381233361,-0.850775024246359
0.29,0.968583161128631,-0.843686125919916,-0.0110585057050895,0.0970250147475872,-0.757719616877418
0.3,0.951056516295154,-0.803936430955441,0.025497428289945,0.118529113057981,-0.659909889607515
0.31,0.929776485888251,-0.760502150558278,0.0626038504271428,0.140053204238172,-0.557845095892963
0.32,0.904827052466019,-0.713584643471051,0.100066817597692,0.16148381906618,-0.452034006807179
0.33,0.876306680043864,-0.663397144587911,0.137694100688224,0.182709670024284,-0.342993373875403
0.34,0.844327925502015,-0.610164039185712,0.17529573963197,0.203621974316556,-0.231246325237186
0.35,0.809016994374947,-0.554120088633842,0.212684602189609,0.224114774500751,-0.117320711943482
0.36,0.770513242775789,-0.495509605928237,0.249676945608618,0.244085255244301,-0.00174740507531801
0.37,0.728968627421412,-0.434585588917896,0.286092975059667,0.263434052553165,0.114941438694936
0.38,0.684547105928689,-0.371608812295195,0.321757398448352,0.282065557635934,0.232214143789091
0.39,0.63742398974869,-0.306846883524551,0.356499973008716,0.299888210090763,0.349541299574928
0.4,0.587785252292473,-0.240573266551797,0.390156041608636,0.316814781266082,0.466397556322921
0.41,0.535826794978997,-0.173066277137939,0.422567055944498,0.332762645153916,0.582263423960475
0.42,0.481753674101716,-0.104608054822065,0.453581083823992,0.347654036109146,0.696627065111073
0.43,0.425779291565073,-0.0354835142805391,0.483053297962949,0.361416291468441,0.808986075150851
0.44,0.368124552684678,0.0340207161195583,0.510846444140082,0.373982078734502,0.918849238994142
0.45,0.309016994374948,0.103617369107711,0.536831285948151,0.385289604341559,1.02573825939742
0.46,0.248689887164855,0.173019618016301,0.560887024943309,0.395282806255268,1.12918944921488
0.47,0.187381314585725,0.241942157608798,0.582901691573427,0.403911524816204,1.22875537399843
0.48,0.125333233564305,0.310102282427045,0.60277250869809,0.411131655239472,1.32400644636461
0.49,0.0627905195293136,0.37722095985188,0.620406223828552,0.416905279375176,1.41453246305561
0.5,5.66553889764798e-16,0.443023886319581,0.635719406928072,0.421200773588964,1.49994406683662
0.51,-0.0627905195293129,0.507242535061416,0.648638715030485,0.423992896938924,1.57987414703082
0.52,-0.125333233564304,0.569615174807655,0.65910112218108,0.425262855773885,1.65397915276262
0.53,-0.187381314585724,0.629887872293713,0.667054110540456,0.424998343856072,1.72194032669024
0.54,-0.248689887164855,0.687815460560367,0.672455825263588,0.423193561284871,1.78346484710883
0.55,-0.309016994374947,0.743162476287943,0.675275190061205,0.419849207209608,1.83828687355876
0.56,-0.368124552684678,0.795704060214,0.675491984071212,0.414972451305871,1.88616849559108
0.57,-0.425779291565073,0.845226821654331,0.673096877167022,0.408576879950211,1.92690057877156
0.58,-0.481753674101715,0.891529650875265,0.668091428099753,0.40068241777741,1.96030349675243
0.59,-0.535826794978996,0.934424494474502,0.660488038657642,0.391315229410033,1.98622776254218
0.6,-0.587785252292473,0.973737070648989,0.65030987044963,0.380507591755834,2.00455453285445
0.61,-0.637423989748689,1.00930754186522,0.637590720659277,0.368297751008295,2.01519601353279
0.62,-0.684547105928688,1.04099112367608,0.622374856747771,0.35472975221593,2.01809573263978
0.63,-0.728968627421411,1.06865863784499,0.604716813691278,0.339853247190739,2.01322869872701
0.64,-0.770513242775789,1.09219700814575,0.584681151132145,0.323723284922493,2.00060144420039
0.65,-0.809016994374947,1.11150968764444,0.562342173395135,0.306400077137807,1.98025193817738
0.66,-0.844327925502015,1.12651702828303,0.537783612747654,0.287948749888275,1.95224939091896
0.67,-0.876306680043864,1.13715657694706,0.511098275931679,0.268439069788894,1.91669392266763
0.68,-0.904827052466019,1.14338331505374,0.482387660838054,0.247945159465229,1.87371613535702
0.69,-0.929776485888251,1.14516981862001,0.451761529570232,0.226545192692695,1.82347654088294
0.7,-0.951056516295154,1.14250635873156,0.419337464693923,0.204321074498573,1.76616489792406
0.710000000000001,-0.968583161128633,1.13540092829693,0.385240383901619,0.18135810925299,1.70199942145154
0.720000000000001,-0.98228725072869,1.12387919891824,0.349602031414419,0.157744654396181,1.63122588472884
0.730000000000001,-0.992114701314479,1.10798441252102,0.312560445693159,0.133571761992791,1.55411662020697
0.740000000000001,-0.998026728428272,1.08777720143495,0.274259397581825,0.108932812235867,1.47096941125264
0.750000000000001,-1,1.06333534054163,0.234847812463329,0.0839231370019682,1.38210629000693
0.760000000000001,-0.998026728428271,1.03475343247087,0.194479169291173,0.0586396369109964,1.28787223867304
0.770000000000001,-0.992114701314477,1.00214252693042,0.153310884300597,0.0331803910384905,1.18863380226951
0.780000000000001,-0.982287250728688,0.965629677133651,0.111503678169445,0.00764426537380618,1.0847776206769
0.790000000000001,-0.96858316112863,0.925357430654422,0.0692209325099344,-0.0178694849023169,0.97670887826204
0.800000000000001,-0.951056516295152,0.881483260668378,0.0266280356525699,-0.0432616111434856,0.864849685177462
0.810000000000001,-0.929776485888249,0.834178940424187,-0.0161082784430331,-0.0684332697893553,0.749637392191799
0.820000000000001,-0.904827052466017,0.783629859290074,-0.0588205967042985,-0.0932864152421376,0.631522847343638
0.830000000000001,-0.876306680043861,0.730034285792361,-0.101341495127731,-0.117724192557371,0.510968598107259
0.840000000000001,-0.844327925502012,0.673602581241982,-0.143504206517781,-0.141651323888975,0.388447050835226
0.850000000000001,-0.809016994374944,0.614556365692901,-0.185143284877579,-0.164974487604639,0.264438593210683
0.860000000000001,-0.770513242775786,0.553127637502247,-0.226095265301802,-0.187602690984703,0.139429681215742
0.870000000000001,-0.728968627421407,0.489557856031425,-0.2661993143073,-0.20944763236372,0.013910909360405
0.880000000000001,-0.684547105928684,0.424096984361986,-0.30529787017271,-0.230424053200996,-0.11162493901172
0.890000000000001,-0.637423989748685,0.357002498883971,-0.343237269720788,-0.250450077075101,-0.236684847911918
0.900000000000001,-0.587785252292468,0.288538371110188,-0.379868359553295,-0.269447535958294,-0.360777524401401
0.910000000000001,-0.535826794978992,0.218974022371518,-0.415047089057941,-0.287342281188581,-0.483415347875004
0.920000000000001,-0.48175367410171,0.148583257996451,-0.448635083122368,-0.304064478615963,-0.60411630374188
0.930000000000001,-0.425779291565067,0.0776431841241256,-0.480500192011071,-0.319548886544233,-0.722405894431178
0.940000000000001,-0.368124552684673,0.00643311170860794,-0.510517016578806,-0.33373511532104,-0.837819020191238
0.950000000000001,-0.309016994374942,-0.064766547922554,-0.538567406374455,-0.346567867448608,-0.949901821745617
0.960000000000001,-0.248689887164849,-0.135675391940249,-0.564540929360428,-0.357997158137814,-1.05821347943849
0.970000000000001,-0.187381314585719,-0.206014134953221,-0.588335310372985,-0.367978514228371,-1.16232795955458
0.980000000000001,-0.125333233564299,-0.275505711386145,-0.609856837397711,-0.376473150722037,-1.26183569950589
0.99,-0.0627905195293133,-0.343876373861507,-0.629020735059008,-0.383448126064425,-1.35634523498494
1,-1.1331077795296e-15,-0.41085677251361,-0.645751500075446,-0.388876474276095,-1.44548474686515
1.01,0.0627905195293137,-0.476183019333406,-0.659983202226407,-0.39273731041612,-1.52890353197593
1.02,0.125333233564303,-0.539597733550986,-0.671659746958652,-0.395015916895584,-1.60627339740522
1.03,0.187381314585725,-0.600851056407183,-0.680735098200369,-0.395703800902986,-1.67728995551054
1.04,0.248689887164854,-0.659701639023109,-0.687173461547705,-0.394798729771019,-1.74167383034183
1.05,0.309016994374946,-0.715917597053323,-0.690949428827224,-0.392304741013679,-1.79917176689423
1.06,0.368124552684677,-0.769277425238733,-0.692048078124122,-0.388232126982585,-1.84955763034544
1.07,0.425779291565072,-0.819570875334314,-0.690465034709158,-0.382597395348457,-1.89263330539193
1.08,0.481753674101715,-0.86659978319032,-0.686206490889402,-0.375423204187628,-1.92822947826735
1.09,0.535826794978996,-0.910178854132275,-0.679289181301505,-0.366738274405956,-1.95620630983974
1.1,0.587785252292473,-0.950136395442723,-0.66974031836948,-0.356577276034912,-1.97645398984711
1.11,0.637423989748689,-0.98631499338499,-0.657597487542312,-0.344980693780628,-1.98889317470793
1.12,0.684547105928689,-1.0185721352852,-0.64290849688167,-0.331994665268448,-1.99347529743532
1.13,0.728968627421411,-1.04678077464405,-0.625731193958933,-0.317670802264163,-1.99018277086715
1.14,0.770513242775789,-1.07082982956288,-0.606133233461557,-0.302065985566471,-1.97902904859091
1.15,0.809016994374947,-1.09062462583771,-0.584191815056472,-0.285242142257808,-1.96005858315199
1.16,0.844327925502014,-1.10608726724956,-0.559993377471898,-0.26726600122957,-1.93334664595103
1.17,0.876306680043864,-1.11715694697735,-0.533633258779712,-0.248208831058411,-1.89899903681547
1.18,0.904827052466019,-1.12379018706002,-0.505215319917589,-0.228146157507527,-1.85715166448514
1.19,0.929776485888251,-1.12596100832665,-0.474851536839711,-0.207157467164287,-1.80797001233065
1.2,0.951056516295153,-1.12366103605921,-0.442661558519441,-0.185325895195265,-1.75164848977392
1.21,0.968583161128631,-1.11689953257131,-0.408772235715555,-0.162737894532213,-1.68840966281908
1.22,0.982287250728688,-1.10570336042237,-0.37331711949996,-0.139482898582329,-1.61850337850466
1.23,0.992114701314478,-1.09011687880193,-0.336435937231982,-0.115652964872142,-1.54220578090605
1.24,0.998026728428272,-1.0702017651289,-0.298274038248815,-0.0913424154037126,-1.45981821878143
1.25,1,-1.04603677631343,-0.258981823990311,-0.066647462564494,-1.37166606286823
1.26,0.998026728428272,-1.01771743458815,-0.218714152989524,-0.0416658310749404,-1.27809741865261
1.27,0.992114701314478,-0.985355652991394,-0.17762973032122,-0.0164963708570916,-1.17948175416971
1.28,0.982287250728689,-0.949079293948379,-0.13589048120335,0.00876133083268315,-1.07620844431905
1.29,0.968583161128632,-0.909031663438726,-0.0936609136037621,0.0340073438537288,-0.968685233188759
1.3,0.951056516295154,-0.865370946827552,-0.0511074686312938,0.0591417886178949,-0.857336626840951
1.31,0.929776485888252,-0.81826958492155,-0.00839786302758989,0.0840652305312574,-0.742602217417883
1.32,0.90482705246602,-0.767913593019571,0.0342995712229794,0.1086790710804,-0.624934950716192
1.33,0.876306680043864,-0.714501826793386,0.0768165513007242,0.132885938378417,-0.504799337114245
1.34,0.844327925502015,-0.658245199215847,0.118985507738762,0.156590070444365,-0.38266962103272
1.35,0.809016994374948,-0.59936584629204,0.160640245399715,0.179697692813651,-0.259027908078674
1.36,0.77051324277579,-0.538096252174367,0.201616599133902,0.202117388839355,-0.13436226420111
