"Time [us]","Current(p1) [A]","Current(s1) [A]","Current(s2) [A]","Current(s3) [A]","Current(s1)+Current(s2)+Current(s3) [A]"
0,0,0,0,0,0
0.01,0.0627905195293134,-0.0871377590983083,-0.0632812011791729,-0.0260496708095009,-0.176468631086982
0.02,0.125333233564304,-0.16501444488125,-0.125125941723585,-0.0506763036049891,-0.340816690209824
0.03,0.187381314585725,-0.234160192796246,-0.18634478715118,-0.0728016253079694,-0.493306605255395
0.04,0.248689887164855,-0.294824655762507,-0.246705952016282,-0.0924762780966518,-0.634006885875441
0.05,0.309016994374947,-0.347256831313858,-0.305971959927096,-0.109760906825744,-0.762989698066698
0.06,0.368124552684678,-0.391706843157099,-0.363909881018602,-0.124716760506623,-0.880333484682324
0.07,0.425779291565073,-0.428426917079024,-0.420292302680965,-0.137405939502167,-0.986125159262156
0.08,0.481753674101715,-0.45767226682136,-0.474898199857324,-0.147891685504441,-1.08046215218313
0.09,0.535826794978997,-0.479701848575376,-0.527513781526144,-0.156238633548079,-1.1634542636496
0.1,0.587785252292473,-0.494778988427468,-0.577933309332198,-0.162513026202811,-1.23522532396248
0.11,0.63742398974869,-0.503171888049056,-0.625959886928072,-0.166782891605189,-1.29591466658232
0.12,0.684547105928689,-0.505154011739789,-0.671406215233883,-0.169118185953467,-1.34567841292714
0.13,0.728968627421411,-0.501004361312964,-0.714095311472065,-0.169590902327383,-1.38469057511241
0.14,0.770513242775789,-0.491007642321261,-0.753861188983131,-0.168275147100657,-1.41314397840505
0.15,0.809016994374947,-0.475454327568939,-0.790549495068522,-0.165247183995999,-1.43125100663346
0.16,0.844327925502015,-0.454640620840287,-0.824018103679638,-0.160585449092314,-1.43924417361224
0.17,0.876306680043864,-0.428868328123584,-0.854137661962293,-0.154370536246709,-1.43737652633259
0.18,0.90482705246602,-0.398444640205555,-0.880792086566459,-0.146685155401841,-1.42592188217385
0.19,0.929776485888251,-0.36368183138339,-0.903879009501956,-0.137614064805334,-1.40517490569068
0.2,0.951056516295154,-0.324896879954966,-0.92331017074962,-0.127243978572375,-1.37545102927696
0.21,0.968583161128631,-0.28241101516205,-0.939011755467385,-0.11566345063245,-1.33708622126189
0.22,0.982287250728689,-0.236549198229146,-0.950924676278759,-0.102962737626289,-1.29043661213419
0.23,0.992114701314478,-0.187639537548026,-0.959004797322216,-0.0892336405472815,-1.23587797541752
0.24,0.998026728428272,-0.136012649993564,-0.963223100787929,-0.0745693285156904,-1.17380507929718
0.25,1,-0.0820009680366655,-0.963565793890606,-0.0590641441563061,-1.10463090608358
0.26,0.998026728428272,-0.0259380016343357,-0.96003435720173,-0.0428133943207383,-1.0287857531568
0.27,0.992114701314478,0.031842441488208,-0.9526455326914,-0.0259131256561119,-0.946716216859304
0.28,0.982287250728689,0.0910070704022788,-0.941431252837048,-0.00845988786199706,-0.858884070296766
0.29,0.968583161128631,0.151223956172849,-0.926438509601431,0.00944951399463633,-0.765765039433946
0.3,0.951056516295154,0.212163402646213,-0.907729165160214,0.027718277262359,-0.667847485251642
0.31,0.929776485888251,0.273498834603341,-0.885379704130711,0.0462498670146315,-0.565631002512738
0.32,0.904827052466019,0.334907702189796,-0.859480928441456,0.0649482880603141,-0.459624938191346
0.33,0.876306680043864,0.396072392797947,-0.830137596545339,0.0837183617177854,-0.350346842029607
0.34,0.844327925502015,0.456681147177886,-0.797468007413407,0.102466006004815,-0.238320854230706
0.35,0.809016994374947,0.516428973906691,-0.761603531762163,0.121098517739165,-0.124076040116307
0.36,0.770513242775789,0.575018557758773,-0.722688092098447,0.139524854659434,-0.00814467968023999
0.37,0.728968627421412,0.632161156258841,-0.680877593248534,0.157655916682409,0.108939479692716
0.38,0.684547105928689,0.687577480634781,-0.63633930605344,0.17540482440114,0.226642998982481
0.39,0.63742398974869,0.740998555848642,-0.58925120645172,0.192687193529676,0.344434542926598
0.4,0.587785252292473,0.792166555613281,-0.539801272503304,0.209421403926367,0.461786687036344
0.41,0.535826794978997,0.840835607854965,-0.488186742143567,0.225528861873673,0.578177727585071
0.42,0.481753674101716,0.886772566810779,-0.434613334644962,0.24093425420068,0.693093486366497
0.43,0.425779291565073,0.929757747491271,-0.37929443869725,0.255565793184764,0.806029101978785
0.44,0.368124552684678,0.969585619029805,-0.322450270466856,0.269355450815641,0.91649079937859
0.45,0.309016994374948,1.00606545352779,-0.2643070046919,0.282239181427796,1.02399763026369
0.46,0.248689887164855,1.03902192648026,-0.205095882667227,0.294157131601864,1.1280831754149
0.47,0.187381314585725,1.06829566708149,-0.145052300138366,0.305053836318464,1.22829720326159
0.48,0.125333233564305,1.09374375339996,-0.084414878605004,0.314878400266137,1.32420727506109
0.49,0.0627905195293136,1.11524015235491,-0.0234245249113265,0.323584663630894,1.41540029107448
0.5,5.66553889764798e-16,1.13267610105386,0.0376765191866781,0.331131351569795,1.50148397181033
0.51,-0.0627905195293129,1.14596042675033,0.0986456319374026,0.337482206246201,1.58208826493393
0.52,-0.125333233564304,1.15501980437375,0.159240768154223,0.342606101262076,1.65686667379005
0.53,-0.187381314585724,1.15979895125034,0.219221413693811,0.346477137859675,1.72549750280383
0.54,-0.248689887164855,1.16026075616206,0.278349533316452,0.349074721683628,1.78768501116214
0.55,-0.309016994374947,1.15638634216687,0.336390509322927,0.350383620943162,1.84316047243296
0.56,-0.368124552684678,1.14817506271954,0.393114066131588,0.350394004276837,1.89168313312796
0.57,-0.425779291565073,1.13564443186635,0.448295178027513,0.349101459208691,1.93304106910255
0.58,-0.481753674101715,1.1188299872536,0.501714956325772,0.346506990471574,1.96705193405095
0.59,-0.535826794978996,1.09778508483856,0.553161511666842,0.342616997544681,1.99356359405008
0.6,-0.587785252292473,1.07258062936023,0.602430789262685,0.337443233468629,2.01245465209154
0.61,-0.637423989748689,1.04330473923742,0.649327373077838,0.331002742059144,2.0236348543744
0.62,-0.684547105928688,1.01006234553843,0.693665255754402,0.323317776200498,2.02704537749333
0.63,-0.728968627421411,0.972974729673324,0.735268571630989,0.314415696698,2.02265899800231
0.64,-0.770513242775789,0.932178998793624,0.773972289438444,0.304328850569937,2.010480138802
0.65,-0.809016994374947,0.887827502842315,0.80962286264219,0.293094432406263,1.99054479789077
0.66,-0.844327925502015,0.840087191923378,0.84207883422866,0.280754325827934,1.96292035197997
0.67,-0.876306680043864,0.789138921022079,0.871211393290503,0.26735492777416,1.92770524208674
0.68,-0.904827052466019,0.73517670224464,0.896904883332064,0.25294695552756,1.88502854110426
0.69,-0.929776485888251,0.678406904043596,0.919057256349992,0.237585237777345,1.83504939817093
0.7,-0.951056516295154,0.619047409012831,0.937580475163293,0.221328489176403,1.77795637335253
0.710000000000001,-0.968583161128633,0.557326723514546,0.952400859931837,0.204239071254051,1.71396665470043
0.720000000000001,-0.98228725072869,0.493483049914382,0.963459376815947,0.186382737897973,1.6433251646283
0.730000000000001,-0.992114701314479,0.427763322254883,0.970711871334035,0.167828369949697,1.56630356353862
0.740000000000001,-0.998026728428272,0.36042220720831,0.974129240400577,0.148647696106838,1.48319914371573
0.750000000000001,-1,0.291721077952399,0.973697546639874,0.128915003991123,1.3943336285834
0.760000000000001,-0.998026728428271,0.221926962094798,0.969418072290307,0.108706841099857,1.30005187548496
0.770000000000001,-0.992114701314477,0.151311468917533,0.961307313257653,0.0881017077272545,1.20072048990244
0.780000000000001,-0.982287250728688,0.0801496999901979,0.949396912982125,0.067179741956907,1.09672635492923
