"Time [us]","Current(p1) [A]","Current(s1) [A]","Current(s2) [A]","Current(s3) [A]","Current(s1)+Current(s2)+Current(s3) [A]"
0,0,0,0,0,0
0.01,0.0627905195293134,0.0523667760036725,-0.0685948932032812,0.0161152447749526,-0.000112872424656105
0.02,0.125333233564304,0.100756748082788,-0.128702271430417,0.0278352918309379,-0.000110231516691081
0.03,0.187381314585725,0.148619272601322,-0.188129272748334,0.0394006086817299,-0.000109391465282105
0.04,0.248689887164855,0.195810561411773,-0.246715854643927,0.0507971999315232,-0.000108093300630809
0.05,0.309016994374947,0.242148065811454,-0.304237163751872,0.0619827295564065,-0.000106368384011478
0.06,0.368124552684678,0.287452281639292,-0.360471818980788,0.0729153137737962,-0.000104223567699818
0.07,0.425779291565073,0.331547768089049,-0.415203371929812,0.0835539365202827,-0.000101667320480281
0.08,0.481753674101715,0.374263823931065,-0.468221154243859,0.0938586205784145,-9.87097343795179e-05
0.09,0.535826794978997,0.415435145475233,-0.519321100600632,0.103790592639179,-9.53624862199409e-05
0.1,0.587785252292473,0.454902467016998,-0.568306547942358,0.113312442136103,-9.16387892570258e-05
0.11,0.63742398974869,0.492513179374683,-0.614989007803894,0.122388275086464,-8.75533427470154e-05
0.12,0.684547105928689,0.528121924779668,-0.659188908512283,0.130983861458918,-8.3122273696945e-05
0.13,0.728968627421411,0.561591164239382,-0.700736302407945,0.139066775096066,-7.83630724970064e-05
0.14,0.770513242775789,0.592791716842392,-0.739471538549498,0.146606527182548,-7.32945245580374e-05
0.15,0.809016994374947,0.621603265821569,-0.775245893313043,0.153574690855387,-6.79366360870626e-05
0.16,0.844327925502015,0.647914832189712,-0.807922160302645,0.159945017557524,-6.23105554089509e-05
0.17,0.876306680043864,0.67162521082876,-0.837375194567994,0.165693545251383,-5.64384878510016e-05
0.18,0.90482705246602,0.692643370525849,-0.863492410552555,0.170798696415491,-5.03436112149758e-05
0.19,0.929776485888251,0.710888812859197,-0.886174230054696,0.175241367214444,-4.40499810549499e-05
0.2,0.951056516295154,0.726291890929527,-0.905334479170351,0.179005005802845,-3.75824379790779e-05
0.21,0.968583161128631,0.738794085247897,-0.920900733148367,0.182075681391708,-3.09665087619426e-05
0.22,0.982287250728689,0.748348236750549,-0.932814606960043,0.184442141904113,-2.42283053810688e-05
0.23,0.992114701314478,0.75491873364316,-0.941031989454447,0.186095861388604,-1.73944226830036e-05
0.24,0.998026728428272,0.758481655073284,-0.945523223333295,0.187031076427325,-1.04918326859493e-05
0.25,1,0.759024866916681,-0.946273226074628,0.18724481137922,-3.54777872701995e-06
0.26,0.998026728428272,0.75654807218916,-0.943281554226495,0.186736892369737,3.41033240203181e-06
0.27,0.992114701314478,0.751062814313957,-0.936562409828526,0.185509950553002,1.0355038433052e-05
0.28,0.982287250728689,0.742592434163406,-0.926144588983173,0.183569413749906,1.72589301390691e-05
0.29,0.968583161128631,0.731171980071087,-0.912071372229947,0.180923486918298,2.40947594379037e-05
0.3,0.951056516295154,0.71684807221053,-0.894400358643747,0.177583121980107,3.08355468900401e-05
0.31,0.929776485888251,0.699678720533463,-0.873203242042948,0.173561976197626,3.74546881410642e-05
0.32,0.904827052466019,0.679733098620385,-0.848565532646528,0.168876360085244,4.39260591010016e-05
0.33,0.876306680043864,0.657091272824832,-0.820586223495131,0.163545174789164,5.02241188650443e-05
0.34,0.844327925502015,0.6318438886679,-0.789377403473057,0.157589838815578,5.63240104210216e-05
0.35,0.809016994374947,0.604091815129168,-0.755063818661032,0.151034205191088,6.22016592239927e-05
0.36,0.770513242775789,0.573945748976856,-0.717782383797579,0.143904468688237,6.783386751405e-05
