"Time [us]","Current(p1) [A]","Current(s1) [A]","Current(s2) [A]","Current(s3) [A]","Current(s1)+Current(s2)+Current(s3) [A]"
0,0,0,0,0,0
0.01,0.0627905195293134,-0.0964439693454913,-0.0629267300138164,-0.0288624508326478,-0.188233150191955
0.02,0.125333233564304,-0.192142887740709,-0.125012898540663,-0.0586196252491812,-0.375775411530553
0.03,0.187381314585725,-0.287071444809466,-0.186594488163373,-0.0881677184618061,-0.561833651434645
0.04,0.248689887164855,-0.380858167914475,-0.247434531402924,-0.117380853824489,-0.745673553141888
0.05,0.309016994374947,-0.473133449799129,-0.307293625383688,-0.146142539346457,-0.926569614529274
0.06,0.368124552684678,-0.563533583396786,-0.365936153417756,-0.174338201177077,-1.10380793799162
0.07,0.425779291565073,-0.651702230921209,-0.423131264472332,-0.201855565403577,-1.27668906079712
0.08,0.481753674101715,-0.737291834414565,-0.478653785049268,-0.228585096073743,-1.44453071553758
0.09,0.535826794978997,-0.819964990894134,-0.532285108653644,-0.254420423347467,-1.60667052289524
0.1,0.587785252292473,-0.899395786702142,-0.583814059437163,-0.279258759424228,-1.76246860556353
0.11,0.63742398974869,-0.975271086170171,-0.633037726853538,-0.303001300672893,-1.9113101136966
0.12,0.684547105928689,-1.04729176935076,-0.679762267681803,-0.325553614337019,-2.05260765136958
0.13,0.728968627421411,-1.11517391423001,-0.723803672483236,-0.346826008204775,-2.18580359491802
0.14,0.770513242775789,-1.17864991835384,-0.764988493189326,-0.366733881790387,-2.31037229333355
0.15,0.809016994374947,-1.23746955650383,-0.80315452907954,-0.385198057692465,-2.42582214327583
0.16,0.844327925502015,-1.29140096864543,-0.838151468377482,-0.402145091673495,-2.53169752869641
0.17,0.876306680043864,-1.34023157609068,-0.869841482856953,-0.417507560321559,-2.62758061926919
0.18,0.90482705246602,-1.38376892112012,-0.898099773214775,-0.431224325123247,-2.71309301945814
0.19,0.929776485888251,-1.42184142675266,-0.922815062916224,-0.443240771843382,-2.78789726151227
0.2,0.951056516295154,-1.4542990747534,-0.94389003872005,-0.453509024342506,-2.85169813781596
