"Time [us]","Current(w1) [A]","Current(w2) [A]","Current(w4) [A]","Current(w6) [A]","Current(w2)+Current(w4)+Current(w6) [A]"
0,0,0,0,0,0
0.01,0.0627905195293134,-0.0962341559159,-0.0629307916785592,-0.0291534784692051,-0.188318426063664
0.02,0.125333233564304,-0.189945047893361,-0.125489176665431,-0.0604948972794695,-0.375929121838261
0.03,0.187381314585725,-0.282710635484575,-0.187538540046871,-0.0918051739253595,-0.562054349456805
0.04,0.248689887164855,-0.37441798560269,-0.2488517111104,-0.122690289013373,-0.745959985726463
0.05,0.309016994374947,-0.46469632261308,-0.309186605908111,-0.153037521928802,-0.926920450449993
0.06,0.368124552684678,-0.553169442519469,-0.36830399744135,-0.182748267883177,-1.104221707844
0.07,0.425779291565073,-0.639477702850409,-0.425969995400145,-0.211716426175894,-1.27716412442645
0.08,0.481753674101715,-0.723275112170381,-0.481956732122098,-0.239833402079668,-1.44506524637215
0.09,0.535826794978997,-0.804227764195701,-0.536043075633032,-0.26699166110571,-1.60726250093444
0.1,0.587785252292473,-0.882013989857667,-0.588015423752716,-0.293086402071214,-1.7631158156816
0.11,0.63742398974869,-0.956325172864555,-0.637668515844029,-0.318016458629435,-1.91201014733802
0.12,0.684547105928689,-1.02686676835551,-0.684806231081431,-0.341684911351845,-2.05335791078879
0.13,0.728968627421411,-1.09335936417369,-0.72924236000121,-0.363999575143628,-2.18660129931853
0.14,0.770513242775789,-1.15553972468376,-0.770801341812435,-0.384873420173714,-2.31121448666991
0.15,0.809016994374947,-1.2131617915673,-0.80931896219879,-0.404224949292723,-2.42670570305881
0.16,0.844327925502015,-1.26599762730414,-0.844643007355877,-0.421978541860486,-2.5326191765205
0.17,0.876306680043864,-1.31383829302437,-0.876633870565448,-0.438064768176413,-2.62853693176623
0.18,0.90482705246602,-1.35649465564153,-0.9051651085267,-0.452420676186821,-2.71408044035505
0.19,0.929776485888251,-1.3937981192469,-0.930123944742644,-0.464990050662047,-2.78891211465159
0.2,0.951056516295154,-1.42560127783093,-0.951411717988716,-0.475723644662619,-2.85273664048227
0.21,0.968583161128631,-1.45177848609269,-0.968944274002214,-0.484579382609109,-2.90530214270401
0.22,0.982287250728689,-1.47222634604137,-0.982652298987075,-0.491522534406181,-2.94640117943463
0.23,0.992114701314478,-1.48686410701976,-0.992481593738121,-0.496525859950367,-2.97587156070825
0.24,0.998026728428272,-1.49563397800523,-0.998393287421729,-0.499569723547152,-2.99359698897411
0.25,1,-1.49850134979342,-1.00036399031299,-0.500642177774781,-2.99950751788119
0.26,0.998026728428272,-1.49545492700735,-0.99838588509095,-0.499739016461579,-2.99357982855988
0.27,0.992114701314478,-1.48650676868535,-0.99246675635209,-0.496863796639603,-2.97583732167704
0.28,0.982287250728689,-1.47169223754945,-0.982629958312851,-0.4920278293302,-2.9463500251925
0.29,0.968583161128631,-1.45106985752239,-0.968914321027126,-0.48525013927566,-2.90523431782518
0.3,0.951056516295154,-1.42472108088208,-0.951373995502673,-0.476557393829933,-2.85265247021469
0.31,0.929776485888251,-1.39274996468546,-0.93007823828115,-0.465983801204521,-2.78881200417113
0.32,0.904827052466019,-1.35528275863328,-0.905111136568497,-0.453570978652365,-2.71396487385414
0.33,0.876306680043864,-1.31246740560145,-0.876571274806912,-0.439367791001614,-2.62840647140998
0.34,0.844327925502015,-1.26447295693248,-0.844571344204303,-0.423430160283938,-2.53247446142072
0.35,0.809016994374947,-1.2114889041052,-0.809237696637948,-0.405820847198507,-2.42654744794165
0.36,0.770513242775789,-1.15372443051079,-0.770709844875271,-0.386609205369145,-2.31104348075521
0.37,0.728968627421412,-1.09140758508473,-0.72913991081517,-0.365870909260043,-2.18641840515994
0.38,0.684547105928689,-1.0247843820494,-0.684692024233104,-0.343687657022568,-2.05316406330507
0.39,0.63742398974869,-0.954117829354669,-0.637541674128004,-0.320146849282482,-1.91180635276515
0.4,0.587785252292473,-0.879686890759863,-0.587875015458347,-0.295341245320666,-1.76290315153888
0.41,0.535826794978997,-0.801785384268099,-0.535888133777798,-0.269368597898009,-1.60704211594391
0.42,0.481753674101716,-0.720720822489776,-0.481786270835739,-0.242331268260138,-1.44483836158565
0.43,0.425779291565073,-0.636813198858463,-0.425783014130802,-0.214335822822826,-1.27693203581209
0.44,0.368124552684678,-0.550393724574986,-0.368099453545381,-0.185492613154661,-1.10398579127503
0.45,0.309016994374948,-0.461803521378916,-0.308963308548705,-0.155915340945635,-0.926682170873256
0.46,0.248689887164855,-0.371392275150958,-0.248608029145463,-0.125720609629469,-0.74572091392589
0.47,0.187381314585725,-0.27951685578737,-0.187271874412058,-0.0950274644890246,-0.561816194688453
0.48,0.125333233564305,-0.186539908734969,-0.125196971994271,-0.0639569230974283,-0.375693803826668
0.49,0.0627905195293136,-0.0928284237642575,-0.0626283624825055,-0.032631497897863,-0.188088284144626
0.5,5.66553889764798e-16,0.00124771346127037,0.000186967796605945,-0.00117471280124722,0.000259968456629095
0.51,-0.0627905195293129,0.09531718115683,0.0630010615355141,0.0302893842037765,0.188607626896121
0.52,-0.125333233564304,0.189008686884353,0.125565969051377,0.0616367105666653,0.376211366502395
0.53,-0.187381314585724,0.281952432889168,0.18763472682616,0.0927436388630358,0.562330798578364
0.54,-0.248689887164855,0.373781575515765,0.24896233213053,0.12348748469478,0.746231392341075
0.55,-0.309016994374947,0.464133673013941,0.309306709922565,0.153746990927644,0.92718737386415
0.56,-0.368124552684678,0.552652115842552,0.368429668126648,0.183402806284098,1.1044845902533
0.57,-0.425779291565073,0.638987534111908,0.42609783763494,0.212337956421081,1.27742332816793
0.58,-0.481753674101715,0.722799176310189,0.482083593198556,0.240438305694346,1.44532107520309
0.59,-0.535826794978996,0.803756254135742,0.536165951759739,0.26759300768828,1.60751521358376
0.6,-0.587785252292473,0.881539247858634,0.588131444396944,0.293694942780148,1.76336563503573
0.61,-0.637423989748689,0.955841167336044,0.637774958770862,0.318641141005627,1.91225726711253
0.62,-0.684547105928688,1.02636876350746,0.684900548474682,0.342333188571146,2.05360250055329
0.63,-0.728968627421411,1.09284368567615,0.729322206293519,0.364677616358665,2.18684350832833
0.64,-0.770513242775789,1.15500358004544,0.770864598190891,0.385586268966313,2.31145444720264
0.65,-0.809016994374947,1.21260312484963,0.809363755156272,0.404976652724147,2.42694353273005
0.66,-0.844327925502015,1.26541499883773,0.84466772027272,0.422772261411605,2.53285498052205
