"Time [us]","Current(w1) [A]","Current(w2) [A]","Current(w3) [A]","Current(w4) [A]"
0,0,0,0,0
0.01,0.0627905195293134,-0.0507901995447313,-0.0673907668847363,0.0627905195293134
0.02,0.125333233564304,-0.0996470375102194,-0.134864177420764,0.125333233564304
0.03,0.187381314585725,-0.146653840421327,-0.199593932860493,0.187381314585725
0.04,0.248689887164855,-0.191710018941022,-0.261358270385568,0.248689887164855
0.05,0.309016994374947,-0.23468164857564,-0.319987530453574,0.309016994374947
0.06,0.368124552684678,-0.275441471315322,-0.375319117827867,0.368124552684678
0.07,0.425779291565073,-0.313869841178922,-0.427200086341114,0.425779291565073
0.08,0.481753674101715,-0.349854968530898,-0.475488497230391,0.481753674101715
0.09,0.535826794978997,-0.383293357501457,-0.520054300069097,0.535826794978997
0.1,0.587785252292473,-0.414090260459977,-0.560780026973186,0.587785252292473
0.11,0.63742398974869,-0.44216010615534,-0.59756138155226,0.63742398974869
0.12,0.684547105928689,-0.467426890037002,-0.630307748924339,0.684547105928689
0.13,0.728968627421411,-0.489824523187589,-0.658942636278666,0.728968627421411
0.14,0.770513242775789,-0.509297138617887,-0.683404048449533,0.770513242775789
0.15,0.809016994374947,-0.525799353648888,-0.703644799706586,0.809016994374947
0.16,0.844327925502015,-0.539296488215554,-0.719632762192183,0.844327925502015
0.17,0.876306680043864,-0.549764738306021,-0.731351050784103,0.876306680043864
0.18,0.90482705246602,-0.557191304725912,-0.738798145005047,0.90482705246602
0.19,0.929776485888251,-0.561574476021379,-0.741987946877675,0.929776485888251
0.2,0.951056516295154,-0.5629236669266,-0.74094977579536,0.951056516295154
0.21,0.968583161128631,-0.561259410740474,-0.735728300170894,0.968583161128631
0.22,0.982287250728689,-0.556613306969921,-0.726383405966147,0.982287250728689
0.23,0.992114701314478,-0.549027924161364,-0.712990004229033,0.992114701314478
0.24,0.998026728428272,-0.538556658188387,-0.695637776428321,0.998026728428272
0.25,1,-0.525263547049084,-0.67443086073817,1
0.26,0.998026728428272,-0.509223042550936,-0.649487479350245,0.998026728428272
0.27,0.992114701314478,-0.490519740148359,-0.620939508589878,0.992114701314478
0.28,0.982287250728689,-0.469248067923429,-0.58893199423449,0.982287250728689
0.29,0.968583161128631,-0.445511935804618,-0.553622613196705,0.968583161128631
0.3,0.951056516295154,-0.419424346814341,-0.515181084254479,0.951056516295154
0.31,0.929776485888251,-0.391106971535423,-0.473788530212683,0.929776485888251
0.32,0.904827052466019,-0.360689687851976,-0.429636793724466,0.904827052466019
0.33,0.876306680043864,-0.328310087392435,-0.38292771007564,0.876306680043864
0.34,0.844327925502015,-0.29411295109328,-0.333872339165807,0.844327925502015
0.35,0.809016994374947,-0.258249695656328,-0.282690160292965,0.809016994374947
0.36,0.770513242775789,-0.220877793283779,-0.22960823286469,0.770513242775789
0.37,0.728968627421412,-0.182160166831135,-0.174860326155521,0.728968627421412
0.38,0.684547105928689,-0.142264563069753,-0.118686021807567,0.684547105928689
0.39,0.63742398974869,-0.101362906207021,-0.0613297925745544,0.63742398974869
0.4,0.587785252292473,-0.0596306344714156,-0.00304006086385489,0.587785252292473
0.41,0.535826794978997,-0.0172460223521927,0.0559317589075243,0.535826794978997
0.42,0.481753674101716,0.0256105088673129,0.115332230642672,0.481753674101716
0.43,0.425779291565073,0.0687570894855373,0.174906875490477,0.425779291565073
0.44,0.368124552684678,0.112011105965262,0.234401155669481,0.368124552684678
0.45,0.309016994374948,0.155189908813451,0.293561459054767,0.309016994374948
0.46,0.248689887164855,0.198111521102921,0.352136080904107,0.248689887164855
0.47,0.187381314585725,0.24059534467437,0.409876198577656,0.187381314585725
0.48,0.125333233564305,0.282462861340682,0.466536835469322,0.125333233564305
0.49,0.0627905195293136,0.323538326172327,0.521877810406259,0.0627905195293136
0.5,5.66553889764798e-16,0.363649450314652,0.575664668610476,5.66553889764798e-16
0.51,-0.0627905195293129,0.402628070426908,0.627669590718088,-0.0627905195293129
0.52,-0.125333233564304,0.440310802218984,0.677672275983051,-0.125333233564304
0.53,-0.187381314585724,0.476539675430401,0.72546079637032,-0.187381314585724
0.54,-0.248689887164855,0.511162747797357,0.770832418187097,-0.248689887164855
0.55,-0.309016994374947,0.544034695493076,0.813594387734684,-0.309016994374947
0.56,-0.368124552684678,0.575017377749671,0.85356467820149,-0.368124552684678
0.57,-0.425779291565073,0.603980373443354,0.890572694478229,-0.425779291565073
0.58,-0.481753674101715,0.630801487493979,0.924459933547748,-0.481753674101715
0.59,-0.535826794978996,0.655367225041441,0.955080597212785,-0.535826794978996
0.6,-0.587785252292473,0.677573231492567,0.982302155372503,-0.587785252292473
0.61,-0.637423989748689,0.697324696887476,1.00600585727975,-0.637423989748689
0.62,-0.684547105928688,0.714536722706,1.0260871887451,-0.684547105928688
0.63,-0.728968627421411,0.729134649874916,1.04245627322913,-0.728968627421411
0.64,-0.770513242775789,0.741054346465967,1.0550382163052,-0.770513242775789
0.65,-0.809016994374947,0.750242454333799,1.06377339053428,-0.809016994374947
0.66,-0.844327925502015,0.756656593094362,1.06861766060574,-0.844327925502015
0.67,-0.876306680043864,0.760265521233948,1.06954254797017,-0.876306680043864
0.68,-0.904827052466019,0.761049253420978,1.06653533384412,-0.904827052466019
0.69,-0.929776485888251,0.758999133461259,1.05959909986166,-0.929776485888251
0.7,-0.951056516295154,0.754117862884705,1.04875270772407,-0.951056516295154
0.710000000000001,-0.968583161128633,0.746419484810061,1.03403071545527,-0.968583161128633
0.720000000000001,-0.98228725072869,0.735929323131825,1.01548323338272,-0.98228725072869
0.730000000000001,-0.992114701314479,0.722683877614362,0.993175717619491,-0.992114701314479
0.740000000000001,-0.998026728428272,0.706730674764261,0.967188704667564,-0.998026728428272
0.750000000000001,-1,0.688128075522347,0.937617485553625,-1
0.760000000000001,-0.998026728428271,0.666945040197908,0.904571722673697,-0.998026728428271
0.770000000000001,-0.992114701314477,0.643260851931824,0.868175009755338,-0.992114701314477
0.780000000000001,-0.982287250728688,0.61716479930108,0.828564377361565,-0.982287250728688
0.790000000000001,-0.96858316112863,0.588755819931652,0.785889745548861,-0.96858316112863
0.800000000000001,-0.951056516295152,0.558142105621928,0.740313325518177,-0.951056516295152
0.810000000000001,-0.929776485888249,0.525440671728096,0.692008973422934,-0.929776485888249
0.820000000000001,-0.904827052466017,0.490776891286244,0.641161498120242,-0.904827052466017
0.830000000000001,-0.876306680043861,0.454283996598433,0.587965925973484,-0.876306680043861
0.840000000000001,-0.844327925502012,0.416102549882327,0.532626725622642,-0.844327925502012
0.850000000000001,-0.809016994374944,0.376379884914825,0.475356995273781,-0.809016994374944
0.860000000000001,-0.770513242775786,0.335269522313009,0.416377616842231,-0.770513242775786
0.870000000000001,-0.728968627421407,0.292930560365826,0.355916378633722,-0.728968627421407
0.880000000000001,-0.684547105928684,0.24952704396636,0.294207071742815,-0.684547105928684
0.890000000000001,-0.637423989748685,0.205227314091539,0.231488562319013,-0.637423989748685
0.900000000000001,-0.587785252292468,0.160203340573478,0.16800384434905,-0.587785252292468
0.910000000000001,-0.535826794978992,0.114630040439426,0.103999076077292,-0.535826794978992
0.920000000000001,-0.48175367410171,0.068684584895116,0.0397226041825994,-0.48175367410171
0.930000000000001,-0.425779291565067,0.022545697332746,-0.02457602061184,-0.425779291565067
0.940000000000001,-0.368124552684673,-0.0236070545622262,-0.0886470324769952,-0.368124552684673
0.950000000000001,-0.309016994374942,-0.0695939700276672,-0.15224144017578,-0.309016994374942
0.960000000000001,-0.248689887164849,-0.115235926888896,-0.21511201361055,-0.248689887164849
0.970000000000001,-0.187381314585719,-0.160355090824005,-0.277014263218768,-0.187381314585719
0.980000000000001,-0.125333233564299,-0.204775619495896,-0.337707408532014,-0.125333233564299
0.99,-0.0627905195293133,-0.248324358758558,-0.39695533183379,-0.0627905195293133
1,-1.1331077795296e-15,-0.290831528157727,-0.454527513577595,-1.1331077795296e-15
1.01,0.0627905195293137,-0.332131393074502,-0.510199945237323,0.0627905195293137
1.02,0.125333233564303,-0.372064191897021,-0.563754696640485,0.125333233564303
1.03,0.187381314585725,-0.410470885649314,-0.614986854210018,0.187381314585725
1.04,0.248689887164854,-0.447204111383094,-0.663694725917002,0.248689887164854
1.05,0.309016994374946,-0.482120588953659,-0.709689003303073,0.309016994374946
1.06,0.368124552684677,-0.515084144237345,-0.75279100613476,0.368124552684677
1.07,0.425779291565072,-0.545966314950341,-0.792833326014181,0.425779291565072
1.08,0.481753674101715,-0.574646823152329,-0.829660525894286,0.481753674101715
1.09,0.535826794978996,-0.60101403832592,-0.863129769665678,0.535826794978996
1.1,0.587785252292473,-0.624965414943841,-0.893111392341041,0.587785252292473
1.11,0.637423989748689,-0.646407896971792,-0.919489416068143,0.637423989748689
