"Time [us]","Current(w1) [A]","Current(w2) [A]","Current(w3) [A]","Current(w4) [A]"
0,0,0,0,0
0.01,0.0627905195293134,-0.0497524642001244,-0.0651531554889702,0.0627905195293134
0.02,0.125333233564304,-0.0959369847671565,-0.128407325988911,0.125333233564304
0.03,0.187381314585725,-0.139119633769089,-0.187113392452706,0.187381314585725
0.04,0.248689887164855,-0.179335130191916,-0.241244635190543,0.248689887164855
0.05,0.309016994374947,-0.216572412763129,-0.290826396224548,0.309016994374947
0.06,0.368124552684678,-0.250823128091656,-0.335884273001723,0.368124552684678
0.07,0.425779291565073,-0.282082530696084,-0.376446829429601,0.425779291565073
0.08,0.481753674101715,-0.310349685530822,-0.41254714451797,0.481753674101715
0.09,0.535826794978997,-0.335627904280341,-0.444223773936943,0.535826794978997
0.1,0.587785252292473,-0.357925198751725,-0.471521471736994,0.587785252292473
0.11,0.63742398974869,-0.377254699072207,-0.494491774795457,0.63742398974869
0.12,0.684547105928689,-0.39363502446034,-0.513193485817106,0.684547105928689
0.13,0.728968627421411,-0.407090603731246,-0.527693070097783,0.728968627421411
0.14,0.770513242775789,-0.417651946355029,-0.5380649753276,0.770513242775789
0.15,0.809016994374947,-0.425355864540561,-0.544391878092763,0.809016994374947
0.16,0.844327925502015,-0.430245647068902,-0.546764861375212,0.844327925502015
0.17,0.876306680043864,-0.432371187021814,-0.545283525570072,0.876306680043864
0.18,0.90482705246602,-0.431789063405643,-0.540056034885501,0.90482705246602
0.19,0.929776485888251,-0.428562578792945,-0.531199101319559,0.929776485888251
0.2,0.951056516295154,-0.42276175355932,-0.518837909528937,0.951056516295154
0.21,0.968583161128631,-0.414463278142126,-0.50310598262692,0.968583161128631
0.22,0.982287250728689,-0.403750424757055,-0.484144993106358,0.982287250728689
0.23,0.992114701314478,-0.390712919372397,-0.462104520158581,0.992114701314478
0.24,0.998026728428272,-0.375446776146088,-0.437141755637841,0.998026728428272
0.25,1,-0.35805409502964,-0.409421162029211,1
0.26,0.998026728428272,-0.338642824405594,-0.379114083941316,0.998026728428272
0.27,0.992114701314478,-0.317326490758444,-0.346398316611241,0.992114701314478
0.28,0.982287250728689,-0.294223896160919,-0.311457633491771,0.982287250728689
0.29,0.968583161128631,-0.269458786560918,-0.274481276185986,0.968583161128631
0.3,0.951056516295154,-0.243159491849908,-0.235663409788422,0.951056516295154
0.31,0.929776485888251,-0.215458539745555,-0.195202545756383,0.929776485888251
0.32,0.904827052466019,-0.186492246231646,-0.153300936735919,0.904827052466019
0.33,0.876306680043864,-0.156400283609118,-0.110163945004568,0.876306680043864
0.34,0.844327925502015,-0.125325229056149,-0.0659993888533161,0.844327925502015
0.35,0.809016994374947,-0.0934120955814015,-0.0210168695116671,0.809016994374947
0.36,0.770513242775789,-0.0608078475442414,0.0245729179860961,0.770513242775789
0.37,0.728968627421412,-0.0276609032353283,0.0705588866523615,0.728968627421412
0.38,0.684547105928689,0.00587937343686849,0.116730268843217,0.684547105928689
0.39,0.63742398974869,0.039663189679626,0.162877333822217,0.63742398974869
0.4,0.587785252292473,0.0735408466821829,0.20879210811481,0.587785252292473
0.41,0.535826794978997,0.107363266292726,0.254269095494824,0.535826794978997
0.42,0.481753674101716,0.140982519147803,0.299105993411046,0.481753674101716
0.43,0.425779291565073,0.174252351935634,0.343104402403541,0.425779291565073
0.44,0.368124552684678,0.207028711553318,0.386070525766659,0.368124552684678
0.45,0.309016994374948,0.239170263670333,0.427815855971917,0.309016994374948
0.46,0.248689887164855,0.270538903819944,0.468157844921571,0.248689887164855
0.47,0.187381314585725,0.301000258349624,0.506920555294346,0.187381314585725
0.48,0.125333233564305,0.330424173519009,0.543935290116513,0.125333233564305
0.49,0.0627905195293136,0.358685190373679,0.579041197272734,0.0627905195293136
0.5,5.66553889764798e-16,0.385663003458505,0.612085847328659,5.66553889764798e-16
0.51,-0.0627905195293129,0.41124290138761,0.642925781099935,-0.0627905195293129
0.52,-0.125333233564304,0.435316187488687,0.671427025339351,-0.125333233564304
0.53,-0.187381314585724,0.457780578525146,0.697465574106328,-0.187381314585724
0.54,-0.248689887164855,0.478540580200222,0.720927833463544,-0.248689887164855
0.55,-0.309016994374947,0.497507837224715,0.741711028004724,-0.309016994374947
0.56,-0.368124552684678,0.514601457143576,0.759723566874637,-0.368124552684678
0.57,-0.425779291565073,0.529748306035091,0.774885368829624,-0.425779291565073
0.58,-0.481753674101715,0.542883275213979,0.787128142911775,-0.481753674101715
0.59,-0.535826794978996,0.55394951728922,0.796395625819736,-0.535826794978996
0.6,-0.587785252292473,0.562898651322213,0.802643773181587,-0.587785252292473
0.61,-0.637423989748689,0.569690935166457,0.805840904615194,-0.637423989748689
0.62,-0.684547105928688,0.574295405427873,0.805967801607565,-0.684547105928688
0.63,-0.728968627421411,0.576689983438462,0.803017758274133,-0.728968627421411
0.64,-0.770513242775789,0.576861547176727,0.796996583449218,-0.770513242775789
0.65,-0.809016994374947,0.574805968930839,0.787922556098924,-0.809016994374947
0.66,-0.844327925502015,0.570528118271939,0.77582633123867,-0.844327925502015
0.67,-0.876306680043864,0.564041830147894,0.760750800045877,-0.876306680043864
0.68,-0.904827052466019,0.555369838505612,0.74275090117473,-0.904827052466019
0.69,-0.929776485888251,0.544543675613413,0.721893387388653,-0.929776485888251
0.7,-0.951056516295154,0.531603537142665,0.698256544684282,-0.951056516295154
0.710000000000001,-0.968583161128633,0.516598113725371,0.671929868720002,-0.968583161128633
0.720000000000001,-0.98228725072869,0.499584389771844,0.643013696995942,-0.98228725072869
0.730000000000001,-0.992114701314479,0.480627409541203,0.611618798814062,-0.992114701314479
0.740000000000001,-0.998026728428272,0.459800012950296,0.577865925853882,-0.998026728428272
0.750000000000001,-1,0.437182539897489,0.541885323339535,-1
0.760000000000001,-0.998026728428271,0.412862506591742,0.503816204866365,-0.998026728428271
0.770000000000001,-0.992114701314477,0.386934252900493,0.463806192191582,-0.992114701314477
0.780000000000001,-0.982287250728688,0.359498564199323,0.422010722913258,-0.982287250728688
0.790000000000001,-0.96858316112863,0.33066226734775,0.378592427565895,-0.96858316112863
0.800000000000001,-0.951056516295152,0.300537803721522,0.333720478861641,-0.951056516295152
0.810000000000001,-0.929776485888249,0.269242780110204,0.287569915926572,-0.929776485888249
0.820000000000001,-0.904827052466017,0.236899499780391,0.240320945752555,-0.904827052466017
0.830000000000001,-0.876306680043861,0.203634474985655,0.192158224630978,-0.876306680043861
0.840000000000001,-0.844327925502012,0.16957792354038,0.143270122547902,-0.844327925502012
0.850000000000001,-0.809016994374944,0.134863250746114,0.0938479733044027,-0.809016994374944
0.860000000000001,-0.770513242775786,0.0996265189999622,0.0440853133792157,-0.770513242775786
0.870000000000001,-0.728968627421407,0.0640059073312048,-0.00582288758128544,-0.728968627421407
0.880000000000001,-0.684547105928684,0.0281411626502026,-0.0556810014816029,-0.684547105928684
0.890000000000001,-0.637423989748685,-0.00782695498206078,-0.105293519008047,-0.637423989748685
0.900000000000001,-0.587785252292468,-0.0437572308195508,-0.154465825849347,-0.587785252292468
0.910000000000001,-0.535826794978992,-0.0795085555621044,-0.203004975198729,-0.535826794978992
0.920000000000001,-0.48175367410171,-0.114940484888174,-0.250720453430795,-0.48175367410171
0.930000000000001,-0.425779291565067,-0.149913796206079,-0.297424935864769,-0.425779291565067
0.940000000000001,-0.368124552684673,-0.184291040406088,-0.342935029753408,-0.368124552684673
0.950000000000001,-0.309016994374942,-0.21793708654368,-0.387072001508399,-0.309016994374942
0.960000000000001,-0.248689887164849,-0.250719657139676,-0.429662485367349,-0.248689887164849
0.970000000000001,-0.187381314585719,-0.282509852227308,-0.470539170592296,-0.187381314585719
0.980000000000001,-0.125333233564299,-0.313182659736339,-0.509541464633946,-0.125333233564299
0.99,-0.0627905195293133,-0.342617450755905,-0.546516129749707,-0.0627905195293133
1,-1.1331077795296e-15,-0.370698457076791,-0.581317890206639,-1.1331077795296e-15
1.01,0.0627905195293137,-0.397315229616609,-0.613810008034134,0.0627905195293137
1.02,0.125333233564303,-0.422363075705146,-0.64386482479484,0.125333233564303
1.03,0.187381314585725,-0.445743473640446,-0.671364267687594,0.187381314585725
1.04,0.248689887164854,-0.467364462658131,-0.696200317503862,0.248689887164854
1.05,0.309016994374946,-0.487141007240572,-0.718275436583944,0.309016994374946
1.06,0.368124552684677,-0.504995333551478,-0.737502955752663,0.368124552684677
1.07,0.425779291565072,-0.520857237575338,-0.753807417858607,0.425779291565072
1.08,0.481753674101715,-0.534664363173756,-0.767124877153966,0.481753674101715
1.09,0.535826794978996,-0.546362449014604,-0.777403153221974,0.535826794978996
1.1,0.587785252292473,-0.555905543623424,-0.784602038169702,0.587785252292473
1.11,0.637423989748689,-0.563256187435067,-0.788693456520356,0.637423989748689
1.12,0.684547105928689,-0.568385561658792,-0.789661577266134,0.684547105928689
1.13,0.728968627421411,-0.571273602337021,-0.787502877852267,0.728968627421411
1.14,0.770513242775789,-0.571909080637749,-0.782226158445673,0.770513242775789
1.15,0.809016994374947,-0.570289647385724,-0.77385250886044,0.809016994374947
1.16,0.844327925502014,-0.566421843344373,-0.762415225999222,0.844327925502014
1.17,0.876306680043864,-0.560321073493536,-0.747959683235887,0.876306680043864
1.18,0.904827052466019,-0.552011547110903,-0.730543152326499,0.904827052466019
1.19,0.929776485888251,-0.541526182691888,-0.710234578114891,0.929776485888251
1.2,0.951056516295153,-0.528906478396001,-0.6871143074122,0.951056516295153
1.21,0.968583161128631,-0.514202348607987,-0.661273772065762,0.968583161128631
1.22,0.982287250728688,-0.497471927630771,-0.632815129352484,0.982287250728688
1.23,0.992114701314478,-0.478781340510297,-0.601850859027524,0.992114701314478
1.24,0.998026728428272,-0.458204442286681,-0.568503320214984,0.998026728428272
1.25,1,-0.435822527087898,-0.532904268918565,1
1.26,0.998026728428272,-0.411724007548858,-0.49519433869876,0.998026728428272
1.27,0.992114701314478,-0.386004066140927,-0.455522486053235,0.992114701314478
1.28,0.982287250728689,-0.35876427982409,-0.414045402910512,0.982287250728689
1.29,0.968583161128632,-0.330112219439569,-0.370926898796959,0.968583161128632
1.3,0.951056516295154,-0.300161025539606,-0.326337254702265,0.951056516295154
1.31,0.929776485888252,-0.269028961866331,-0.280452551597572,0.929776485888252
1.32,0.90482705246602,-0.236838949114347,-0.233453975532479,0.90482705246602
1.33,0.876306680043864,-0.203718079797897,-0.185527103204078,0.876306680043864
1.34,0.844327925502015,-0.169797117060464,-0.136861169805591,0.844327925502015
1.35,0.809016994374948,-0.135209978615803,-0.0876483224277619,0.809016994374948
1.36,0.77051324277579,-0.100093208560394,-0.0380828621030942,0.77051324277579
1.37,0.728968627421412,-0.0645854385630156,0.0116395228099514,0.728968627421412
1.38,0.68454710592869,-0.0288268409546704,0.0613225285966411,0.68454710592869
1.39,0.63742398974869,0.0070414243440316,0.110770010781285,0.63742398974869
1.4,0.587785252292473,0.0428777667826398,0.159786757919638,0.587785252292473
1.41,0.535826794978997,0.0785407238389863,0.208179261842703,0.535826794978997
1.42,0.481753674101716,0.113889519197821,0.255756481138935,0.481753674101716
1.43,0.425779291565072,0.148784618204586,0.302330594934988,0.425779291565072
1.44,0.368124552684678,0.183088278442646,0.347717743956281,0.368124552684678
1.45,0.309016994374948,0.216665093266782,0.391738756006402,0.309016994374948
1.46,0.248689887164855,0.249382526027874,0.43421985288459,0.248689887164855
1.47,0.187381314585726,0.281111433151229,0.474993336059329,0.187381314585726
1.48,0.125333233564306,0.311726573588464,0.513898248476891,0.125333233564306
1.49,0.0627905195293152,0.341107103150692,0.550781009464993,0.0627905195293152
1.5,3.67394039744206e-16,0.369137051290074,0.585496020942042,3.67394039744206e-16
1.51,-0.0627905195293127,0.395705778654232,0.61790624171911,-0.0627905195293127
1.52,-0.125333233564303,0.420708413764536,0.647883728366573,-0.125333233564303
1.53,-0.187381314585723,0.444046266738253,0.675310140056215,-0.187381314585723
1.54,-0.248689887164855,0.465627218846504,0.700077205297528,-0.248689887164855
1.55,-0.309016994374947,0.485366085852917,0.722087149564205,-0.309016994374947
1.56,-0.368124552684677,0.503184954278779,0.741253080521142,-0.368124552684677
1.56999999999999,-0.425779291565015,0.519013488738162,0.757499331460327,-0.425779291565015
1.57999999999999,-0.481753674101659,0.532789209559481,0.770761759236993,-0.481753674101659
1.58999999999999,-0.535826794978943,0.544457739282393,0.780987998196781,-0.535826794978943
1.59999999999999,-0.587785252292421,0.5539730171836,0.788137665603092,-0.587785252292421
1.60999999999999,-0.637423989748641,0.56129748117602,0.792182522174735,-0.637423989748641
1.61999999999999,-0.684547105928643,0.566402215686309,0.793106582352373,-0.684547105928643
1.62999999999999,-0.728968627421368,0.569267066222833,0.790906178410973,-0.728968627421368
1.63999999999999,-0.770513242775748,0.569880718325764,0.785589974014932,-0.770513242775748
1.64999999999999,-0.80901699437491,0.568240742759824,0.777178930400836,-0.80901699437491
1.65999999999999,-0.844327925501981,0.564353604549887,0.765706223448834,-0.844327925501981
1.66999999999999,-0.876306680043833,0.558234637824706,0.751217112891919,-0.876306680043833
1.67999999999999,-0.904827052465992,0.549907985122205,0.73376876358829,-0.904827052465992
1.68999999999999,-0.929776485888228,0.53940650197499,0.713430019608139,-0.929776485888228
1.69999999999999,-0.951056516295134,0.526771627499817,0.690281132958912,-0.951056516295134
