"Freq [MHz]","load_sweep []","re(Current(s1)) [A]","re(Current(s2)) [A]","re(Current(s3)) [A]"
1,4.09317196912302e-10,-1.52913708696747,-0.993809341999084,-0.475542299003142
1,5.03570164717667e-10,-1.52913708696736,-0.993809341999148,-0.475542299003126
1,6.33957276984445e-10,-1.52913708696723,-0.993809341999218,-0.475542299003109
1,7.98104925987552e-10,-1.52913708696707,-0.993809341999296,-0.475542299003089
1,8.95488455427336e-10,-1.52913708696691,-0.993809341999387,-0.475542299003067
1,1.12735317250578e-09,-1.52913708696672,-0.993809341999486,-0.475542299003042
1,1.26491106406735e-09,-1.52913708696652,-0.993809341999598,-0.475542299003014
1,1.4192535569343e-09,-1.52913708696628,-0.993809341999718,-0.475542299002983
1,1.78673436860385e-09,-1.52913708696602,-0.993809341999864,-0.475542299002947
1,2.00474893450909e-09,-1.52913708696573,-0.993809342000023,-0.475542299002908
1,2.2493653007614e-09,-1.5291370869654,-0.993809342000198,-0.475542299002864
1,2.52382937792077e-09,-1.52913708696503,-0.993809342000398,-0.475542299002814
1,2.83178313753655e-09,-1.52913708696462,-0.993809342000622,-0.475542299002759
1,3.17731293889713e-09,-1.52913708696415,-0.993809342000872,-0.475542299002696
1,4e-09,-1.52913708696363,-0.993809342001152,-0.475542299002626
1,4.48807381720785e-09,-1.52913708696306,-0.993809342001461,-0.475542299002548
1,5.03570164717667e-09,-1.52913708696239,-0.993809342001821,-0.47554229900246
1,5.65015017849102e-09,-1.52913708696164,-0.993809342002217,-0.475542299002361
1,6.33957276984445e-09,-1.52913708696082,-0.993809342002651,-0.475542299002241
1,7.11311764015569e-09,-1.52913708695989,-0.993809342003162,-0.475542299002125
1,7.98104925987552e-09,-1.52913708695885,-0.993809342003724,-0.475542299001985
1,8.95488455427336e-09,-1.52913708695768,-0.993809342004352,-0.475542299001829
1,1.00475457260383e-08,-1.52913708695637,-0.993809342005058,-0.475542299001653
1,1.12735317250578e-08,-1.52913708695489,-0.993809342005848,-0.475542299001455
1,1.26491106406735e-08,-1.52913708695324,-0.993809342006738,-0.475542299001233
1,1.4192535569343e-08,-1.52913708695139,-0.993809342007734,-0.475542299000986
1,1.59242868221399e-08,-1.52913708694931,-0.993809342008852,-0.475542299000706
1,1.78673436860385e-08,-1.52913708694698,-0.993809342010107,-0.475542299000394
1,2.00474893450909e-08,-1.52913708694435,-0.993809342011515,-0.475542299000043
1,2.2493653007614e-08,-1.52913708694142,-0.993809342013094,-0.475542298999649
1,2.52382937792077e-08,-1.52913708693812,-0.993809342014868,-0.475542298999207
1,2.83178313753655e-08,-1.52913708693443,-0.993809342016855,-0.475542298998711
1,3.17731293889713e-08,-1.52913708693028,-0.993809342019087,-0.475542298998155
1,3.56500375253498e-08,-1.52913708692562,-0.993809342021591,-0.475542298997531
1,4e-08,-1.5291370869204,-0.993809342024399,-0.47554229899683
1,4.48807381720785e-08,-1.52913708691453,-0.993809342027552,-0.475542298996044
1,5.03570164717667e-08,-1.52913708690796,-0.993809342031087,-0.475542298995163
1,5.65015017849102e-08,-1.52913708690058,-0.993809342035055,-0.475542298994174
1,6.33957276984446e-08,-1.52913708689229,-0.993809342039507,-0.475542298993064
1,7.11311764015569e-08,-1.52913708688301,-0.993809342044503,-0.475542298991818
1,7.98104925987552e-08,-1.52913708687259,-0.993809342050106,-0.475542298990421
1,8.95488455427336e-08,-1.52913708686089,-0.993809342056394,-0.475542298988853
1,1.00475457260383e-07,-1.52913708684777,-0.993809342063451,-0.475542298987094
1,1.12735317250578e-07,-1.52913708683305,-0.993809342071368,-0.47554229898512
1,1.26491106406735e-07,-1.52913708681652,-0.993809342080252,-0.475542298982905
