Time_FEA,I_P_FEA,I_2_FEA,I_4_FEA,I_6_FEA,I_S_FEA
0,-1.89E-13,-0.191419906,-0.023979423,-0.057425027,-0.272824355
0.01,0.06279052,-0.144739489,-0.08327402,-0.046405348,-0.274418857
0.02,0.125333234,-0.097500416,-0.142223305,-0.035206629,-0.274930351
0.03,0.187381315,-0.049889124,-0.20059462,-0.023873073,-0.274356817
0.04,0.248689887,-0.002093515,-0.25815759,-0.012449415,-0.27270052
0.05,0.309016994,0.045697779,-0.31468503,-0.000980746,-0.269967997
0.06,0.368124553,0.093296145,-0.369953841,0.010487664,-0.266170031
0.07,0.425779292,0.140513732,-0.423745892,0.021910549,-0.261321611
0.08,0.481753674,0.187164188,-0.475848882,0.033242822,-0.255441872
0.09,0.535826795,0.233063404,-0.526057173,0.044439751,-0.248554018
0.1,0.587785252,0.278030232,-0.574172606,0.055457141,-0.240685233
0.11,0.63742399,0.321887207,-0.620005284,0.066251506,-0.231866571
0.12,0.684547106,0.364461243,-0.663374316,0.076780238,-0.222132835
0.13,0.728968627,0.405584316,-0.704108535,0.08700178,-0.21152244
0.14,0.770513243,0.445094129,-0.742047174,0.096875784,-0.200077261
0.15,0.809016994,0.482834754,-0.777040496,0.106363277,-0.187842465
0.16,0.844327926,0.518657242,-0.808950392,0.115426811,-0.17486634
0.17,0.87630668,0.552420216,-0.837650919,0.124030609,-0.161200094
0.18,0.904827052,0.583990427,-0.863028801,0.13214071,-0.146897663
0.19,0.929776486,0.61324328,-0.884983875,0.139725103,-0.132015492
0.2,0.951056516,0.640063324,-0.903429487,0.146753848,-0.116612314
0.21,0.968583161,0.664344711,-0.918292832,0.153199202,-0.100748919
0.22,0.982287251,0.685991612,-0.929515246,0.159035722,-0.084487911
0.23,0.992114701,0.704918595,-0.93705243,0.164240369,-0.067893466
0.24,0.998026728,0.72105096,-0.940874631,0.168792597,-0.051031074
0.25,1,0.73432504,-0.940966759,0.172674435,-0.033967284
0.26,0.998026728,0.744688446,-0.937328443,0.175870558,-0.016769439
0.27,0.992114701,0.752100277,-0.929974035,0.178368348,0.00049459
0.28,0.982287251,0.756531281,-0.918932553,0.180157941,0.017756669
0.29,0.968583161,0.757963968,-0.904247567,0.181232272,0.034948672
0.3,0.951056516,0.756392683,-0.885977025,0.181587094,0.052002751
0.31,0.929776486,0.751823625,-0.864193027,0.181221002,0.068851601
0.32,0.904827052,0.744274827,-0.838981538,0.180135438,0.085428728
0.33,0.87630668,0.733776078,-0.81044205,0.17833468,0.101668708
0.34,0.844327926,0.72036881,-0.778687192,0.175825831,0.11750745
0.35,0.809016994,0.704105936,-0.743842279,0.172618788,0.132882445
0.36,0.770513243,0.685051636,-0.706044822,0.168726203,0.147733017
0.37,0.728968627,0.663281109,-0.665443987,0.164163434,0.162000556
0.38,0.684547106,0.63888027,-0.6222,0.158948484,0.175628754
0.39,0.63742399,0.61194542,-0.576483522,0.153101931,0.188563828
0.4,0.587785252,0.582582856,-0.52847497,0.146646843,0.200754729
0.41,0.535826795,0.550908459,-0.478363806,0.139608692,0.212153344
0.42,0.481753674,0.517047232,-0.426347793,0.13201525,0.222714689
0.43,0.425779292,0.48113281,-0.372632209,0.123896483,0.232397083
0.44,0.368124553,0.44330693,-0.317429042,0.115284426,0.241162313
0.45,0.309016994,0.403718873,-0.260956148,0.106213064,0.248975788
0.46,0.248689887,0.362524874,-0.203436397,0.096718194,0.255806671
0.47,0.187381315,0.319887509,-0.145096789,0.086837284,0.261628004
0.48,0.125333234,0.275975045,-0.08616756,0.076609327,0.266416812
0.49,0.06279052,0.230960786,-0.026881273,0.066074684,0.270154197
0.5,1.93E-13,0.185022383,0.032528099,0.055274926,0.272825409
0.51,-0.06279052,0.138341133,0.091826098,0.044252674,0.274419905
0.52,-0.125333234,0.091101265,0.150778705,0.033051422,0.274931392
0.53,-0.187381315,0.043489215,0.209153264,0.021715374,0.274357854
0.54,-0.248689887,-0.004307115,0.2667194,0.010289266,0.272701552
0.55,-0.309016994,-0.052099095,0.32324993,-0.001181812,0.269969023
0.56,-0.368124553,-0.09969811,0.378521754,-0.012652593,0.266171051
0.57,-0.425779292,-0.14691631,0.432316744,-0.024077808,0.261322626
0.58,-0.481753674,-0.193567345,0.484422598,-0.035412371,0.255442881
0.59,-0.535826795,-0.239467104,0.534633679,-0.046611553,0.248555022
0.6,-0.587785252,-0.284434442,0.58275183,-0.057631157,0.240686232
0.61,-0.63742399,-0.328291893,0.628587154,-0.068427697,0.231867564
0.62,-0.684547106,-0.37086637,0.67195876,-0.078958567,0.222133823
0.63,-0.728968627,-0.411989851,0.712695482,-0.089182209,0.211523423
0.64,-0.770513243,-0.451500039,0.750636554,-0.099058276,0.200078238
0.65,-0.809016994,-0.489241007,0.785632241,-0.108547797,0.187843438
0.66,-0.844327926,-0.525063805,0.817544433,-0.117613321,0.174867307
0.67,-0.87630668,-0.558827058,0.846247188,-0.126219074,0.161201057
0.68,-0.904827052,-0.590397516,0.871627231,-0.134331094,0.146898621
0.69,-0.929776486,-0.619650584,0.8935844,-0.141917371,0.132016445
0.7,-0.951056516,-0.646470813,0.912032041,-0.148947966,0.116613262
0.71,-0.968583161,-0.670752355,0.926897351,-0.155395135,0.100749861
0.72,-0.982287251,-0.69239938,0.938121664,-0.161233436,0.084488849
0.73,-0.992114701,-0.711326456,0.945660685,-0.16643983,0.067894399
0.74,-0.998026728,-0.727458886,0.94948466,-0.170993771,0.051032003
0.75,-1,-0.740733001,0.949578499,-0.17487729,0.033968208
0.76,-0.998026728,-0.751096414,0.945941833,-0.178075061,0.016770358
0.77,-0.992114701,-0.758508222,0.938589013,-0.180574466,-0.000493676
0.78,-0.982287251,-0.762939175,0.927549059,-0.182365643,-0.017755759
0.79,-0.968583161,-0.764371783,0.912865541,-0.183441525,-0.034947767
0.8,-0.951056516,-0.762800392,0.894596409,-0.183797868,-0.052001851
0.81,-0.929776486,-0.758231201,0.872813761,-0.183433266,-0.068850706
0.82,-0.904827052,-0.750682242,0.847603565,-0.182349159,-0.085427836
0.83,-0.87630668,-0.740183305,0.819065314,-0.180549829,-0.101667821
0.84,-0.844327926,-0.726775823,0.787311634,-0.178042378,-0.117506567
0.85,-0.809016994,-0.710512709,0.752467844,-0.174836703,-0.132881568
0.86,-0.770513243,-0.691458143,0.714671455,-0.170945456,-0.147732144
0.87,-0.728968627,-0.669687323,0.674071632,-0.166383996,-0.161999687
0.88,-0.684547106,-0.645286167,0.630828604,-0.161170326,-0.17562789
0.89,-0.63742399,-0.618350974,0.58511303,-0.155325024,-0.188562968
0.9,-0.587785252,-0.588988043,0.537105329,-0.148871159,-0.200753873
0.91,-0.535826795,-0.557313254,0.486994964,-0.141834203,-0.212152492
0.92,-0.481753674,-0.523451611,0.434979698,-0.134241928,-0.222713841
0.93,-0.425779292,-0.487536748,0.381264809,-0.1261243,-0.232396239
0.94,-0.368124553,-0.449710404,0.326062285,-0.117513355,-0.241161474
0.95,-0.309016994,-0.41012186,0.269589985,-0.108443078,-0.248974953
0.96,-0.248689887,-0.368927351,0.212070778,-0.098949267,-0.25580584
0.97,-0.187381315,-0.326289452,0.153731664,-0.089069389,-0.261627177
0.98,-0.125333234,-0.282376432,0.09480288,-0.078842438,-0.266415989
0.99,-0.06279052,-0.237361594,0.035516991,-0.068308775,-0.270153378
1,-1.22E-15,-0.19142259,-0.023892032,-0.057509972,-0.272824594
