Time_FEA,I_P_FEA,I_2_FEA,I_4_FEA,I_6_FEA,I_S_FEA
0,-3.79E-13,-0.913616663,-0.016512742,-0.260320594,-1.190449998
0.01,0.125333234,-1.028019701,-0.140494043,-0.297923106,-1.46643685
0.02,0.248689887,-1.126242586,-0.26222882,-0.330825655,-1.719297061
0.03,0.368124553,-1.206736293,-0.379797213,-0.358509368,-1.945042874
0.04,0.481753674,-1.268231398,-0.49134507,-0.380537676,-2.140114143
0.05,0.587785252,-1.309758095,-0.595113187,-0.396563198,-2.30143448
0.06,0.684547106,-1.330661493,-0.68946505,-0.406333222,-2.426459764
0.07,0.770513243,-1.33061194,-0.772912648,-0.409693687,-2.513218274
0.08,0.844327926,-1.309610228,-0.844139935,-0.406591614,-2.560341777
0.09,0.904827052,-1.267987572,-0.902023588,-0.397075945,-2.567087106
0.1,0.951056516,-1.206400398,-0.945650723,-0.381296765,-2.533347885
0.11,0.982287251,-1.125819977,-0.974333286,-0.359502938,-2.459656201
0.12,0.998026728,-1.027517119,-0.987618913,-0.332038185,-2.347174216
0.13,0.998026728,-0.913042127,-0.985298056,-0.299335657,-2.19767584
0.14,0.982287251,-0.784200346,-0.967407293,-0.261911111,-2.01351875
0.15,0.951056516,-0.643023696,-0.934228747,-0.220354771,-1.797607214
0.16,0.904827052,-0.491738624,-0.886285642,-0.175322022,-1.553346288
0.17,0.844327926,-0.332730991,-0.824334045,-0.127523075,-1.284588111
0.18,0.770513243,-0.168508451,-0.749350948,-0.077711763,-0.995571161
0.19,0.684547106,-0.001660896,-0.662518856,-0.026673656,-0.690853408
0.2,0.587785252,0.165180381,-0.565207143,0.024786328,-0.375240434
0.21,0.481753674,0.329384188,-0.458950451,0.075856618,-0.053709644
0.22,0.368124553,0.488360928,-0.345424489,0.12573179,0.268668229
0.23,0.248689887,0.639603436,-0.226419611,0.173625268,0.586809093
0.24,0.125333234,0.780726522,-0.103812572,0.218781727,0.895695677
0.25,3.75E-13,0.909504586,0.020463059,0.260489009,1.190456654
0.26,-0.125333234,1.023906716,0.144447402,0.298089349,1.466443467
0.27,-0.248689887,1.122128718,0.266185168,0.330989754,1.719303639
0.28,-0.368124553,1.202621566,0.383756499,0.358671349,1.945049414
0.29,-0.481753674,1.264115836,0.495307244,0.380697567,2.140120646
0.3,-0.587785252,1.305641722,0.599078198,0.396721025,2.301440945
0.31,-0.684547106,1.326544332,0.693432849,0.40648901,2.426466192
0.32,-0.770513243,1.326494016,0.776883186,0.409847463,2.513224665
0.33,-0.844327926,1.305491563,0.848113163,0.406743405,2.560348131
0.34,-0.904827052,1.263868191,0.905999459,0.397225774,2.567093424
0.35,-0.951056516,1.202280321,0.949629187,0.381444658,2.533354167
0.36,-0.982287251,1.121699228,0.978314298,0.35964892,2.459662447
0.37,-0.998026728,1.023395721,0.991602425,0.33218228,2.347180426
0.38,-0.998026728,0.9089201,0.989284023,0.299477891,2.197682014
0.39,-0.982287251,0.780077714,0.971395668,0.262051507,2.01352489
0.4,-0.951056516,0.638900479,0.938219486,0.220493354,1.797613319
0.41,-0.904827052,0.487614844,0.890278699,0.175458815,1.553352358
