Time_Analysis,I_P_Analysis,I_2_Analysis,I_4_Analysis,I_6_Analysis,I_S_Analysis
0,0,-1.104613516,-0.032448873,-0.356376723,-1.493439112
0.020408163,0.127877162,-1.136355166,-0.154656319,-0.364061369,-1.655072853
0.040816327,0.253654584,-1.149437895,-0.274324312,-0.365768137,-1.789530344
0.06122449,0.375267005,-1.143646886,-0.389487907,-0.361469002,-1.894603795
0.081632653,0.490717552,-1.119077226,-0.498256122,-0.351234557,-1.968567905
0.102040816,0.59811053,-1.07613235,-0.598842985,-0.335232849,-2.010208184
0.12244898,0.695682551,-1.01551741,-0.689596863,-0.313726628,-2.0188409
0.142857143,0.781831482,-0.938227702,-0.769027579,-0.287069024,-1.994324305
0.163265306,0.855142763,-0.845532321,-0.835830884,-0.255697755,-1.937060959
0.183673469,0.914412623,-0.738953323,-0.888909869,-0.220127935,-1.847991127
0.204081633,0.958667853,-0.620240732,-0.927392978,-0.180943621,-1.728577331
0.224489796,0.987181783,-0.491343805,-0.95064832,-0.138788218,-1.580780343
0.244897959,0.999486216,-0.354379026,-0.958294043,-0.094353916,-1.407026985
0.265306122,0.995379113,-0.211595354,-0.950204605,-0.048370325,-1.210170283
0.285714286,0.974927912,-0.065337291,-0.926512833,-0.001592495,-0.993442619
0.306122449,0.938468422,0.081993607,-0.887607746,0.045211484,-0.760402654
0.326530612,0.886599306,0.227978173,-0.834128164,0.091273091,-0.514876899
0.346938776,0.820172255,0.370219344,-0.766952221,0.135835997,-0.26089688
0.367346939,0.740277997,0.506381523,-0.687182944,0.17816848,-0.00263294
0.387755102,0.648228395,0.634228932,-0.596130141,0.217575441,0.255674232
0.408163265,0.545534901,0.751662319,-0.495288899,0.253409819,0.50978324
0.428571429,0.433883739,0.856753432,-0.386315026,0.285083215,0.755521621
0.448979592,0.315108218,0.947776677,-0.270997871,0.312075553,0.988854359
0.469387755,0.191158629,1.023237455,-0.151230939,0.333943619,1.205950135
0.489795918,0.06407022,1.081896703,-0.028980799,0.350328339,1.403244243
0.510204082,-0.06407022,1.122791236,0.093745205,0.360960678,1.57749712
0.530612245,-0.191158629,1.145249569,0.214931916,0.365666053,1.725847537
0.551020408,-0.315108218,1.148902935,0.33258945,0.364367201,1.845859586
0.571428571,-0.433883739,1.133691346,0.444785875,0.35708545,1.935562671
0.591836735,-0.545534901,1.099864578,0.549678928,0.343940365,1.993483871
0.612244898,-0.648228395,1.047978063,0.645546268,0.32514779,2.01867212
0.632653061,-0.740277997,0.978883777,0.730813756,0.301016296,2.01071383
0.653061224,-0.820172255,0.893716247,0.804081303,0.271942124,1.969739674
0.673469388,-0.886599306,0.793873921,0.864145857,0.238402669,1.896422446
0.693877551,-0.938468422,0.680996207,0.910021159,0.200948649,1.791966015
0.714285714,-0.974927912,0.556936554,0.94095394,0.160195057,1.658085551
0.734693878,-0.995379113,0.423732018,0.956436283,0.116811068,1.496979368
0.755102041,-0.999486216,0.283569814,0.956213968,0.071509043,1.311292826
0.775510204,-0.987181783,0.138751402,0.940290647,0.025032843,1.104074891
0.795918367,-0.958667853,-0.008345304,0.908927779,-0.021854397,0.878728078
0.816326531,-0.914412623,-0.155304981,0.862640342,-0.068382787,0.638952573
0.836734694,-0.855142763,-0.299714555,0.802188375,-0.113788335,0.388685485
0.857142857,-0.781831482,-0.439202823,0.728564496,-0.157325481,0.132036192
0.87755102,-0.695682551,-0.571479394,0.642977609,-0.198279347,-0.126781131
0.897959184,-0.59811053,-0.694372288,0.546833047,-0.235977471,-0.383516712
0.918367347,-0.490717552,-0.805863609,0.441709502,-0.269800852,-0.633954959
0.93877551,-0.375267005,-0.904122671,0.329333099,-0.29919411,-0.873983683
0.959183673,-0.253654584,-0.987536065,0.211549055,-0.32367461,-1.09966162
0.979591837,-0.127877162,-1.054734143,0.090291382,-0.342840381,-1.307283142
1,-2.45E-16,-1.104613516,-0.032448873,-3.56E-01,-1.493439112
