Time_Analysis,I_P_Analysis,I_2_Analysis,I_4_Analysis,I_6_Analysis,I_S_Analysis
0,0,-0.7863,-0.0231,-0.2537,-1.063
0.0204,-0.469,-1.2623,-0.4819,-0.3979,-2.1421
0.0408,-0.4566,-1.0351,-0.4634,-0.3248,-1.8234
0.0612,-0.4394,-0.8339,-0.4412,-0.2603,-1.5354
0.0816,-0.4204,-0.6589,-0.4181,-0.2042,-1.2812
0.102,-0.4004,-0.5074,-0.3946,-0.1557,-1.0577
0.1224,-0.3796,-0.3764,-0.371,-0.1139,-0.8613
0.1429,-0.3583,-0.2638,-0.3475,-0.0779,-0.6892
0.1633,-0.3369,-0.1674,-0.3244,-0.0473,-0.5391
0.1837,-0.3157,-0.0856,-0.3019,-0.0213,-0.4087
0.2041,-0.2948,-0.0167,-0.28,0.0005,-0.2962
0.2245,-0.2743,0.0407,-0.2589,0.0186,-0.1996
0.2449,-0.2542,0.0882,-0.2385,0.0335,-0.1167
0.2653,-0.2343,0.1272,-0.2185,0.0457,-0.0455
0.2857,-0.2145,0.1591,-0.1988,0.0556,0.0159
0.3061,-0.1946,0.185,-0.1791,0.0636,0.0694
0.3265,-0.1744,0.2059,-0.1593,0.0699,0.1165
0.3469,-0.1539,0.2227,-0.1394,0.0749,0.1582
0.3673,-0.1332,0.2358,-0.1193,0.0787,0.1952
0.3878,-0.1123,0.2457,-0.0993,0.0815,0.2279
0.4082,-0.0914,0.2524,-0.0793,0.0833,0.2564
0.4286,-0.0707,0.2563,-0.0595,0.0841,0.2809
0.449,-0.0502,0.2576,-0.0401,0.0841,0.3016
0.4694,-0.03,0.2564,-0.0209,0.0833,0.3188
0.4898,-0.01,0.2533,-0.002,0.0819,0.3332
0.5102,0.01,0.2485,0.0168,0.08,0.3452
0.5306,0.03,0.2425,0.0356,0.0776,0.3558
0.551,0.0502,0.2357,0.0546,0.075,0.3653
0.5714,0.0707,0.2283,0.0738,0.0723,0.3743
0.5918,0.0914,0.2204,0.0932,0.0693,0.3829
0.6122,0.1123,0.212,0.1127,0.0662,0.3909
0.6327,0.1332,0.203,0.1322,0.0628,0.3981
0.6531,0.1539,0.1932,0.1516,0.0593,0.4041
0.6735,0.1744,0.1825,0.1707,0.0554,0.4087
0.6939,0.1946,0.171,0.1896,0.0513,0.4118
0.7143,0.2145,0.1587,0.2081,0.0469,0.4137
0.7347,0.2343,0.1459,0.2265,0.0424,0.4148
0.7551,0.2542,0.1329,0.245,0.0378,0.4156
0.7755,0.2743,0.12,0.2637,0.0332,0.4169
0.7959,0.2948,0.1075,0.2827,0.0288,0.4189
0.8163,0.3157,0.0954,0.3022,0.0245,0.422
0.8367,0.3369,0.0837,0.322,0.0203,0.4259
0.8571,0.3583,0.0721,0.3419,0.0161,0.4301
0.8776,0.3796,0.0602,0.3617,0.0118,0.4338
0.898,0.4004,0.0475,0.3811,0.0073,0.4359
0.9184,0.4204,0.0335,0.3997,0.0024,0.4356
0.9388,0.4394,0.0177,0.4172,-0.0031,0.4319
0.9592,0.4566,-0.0008,0.433,-0.0094,0.4228
0.9796,0.469,-0.0267,0.444,-0.018,0.3993
1.00E+00,0,-0.7863,-0.0231,-0.2537,-1.063
