Time_FEA,I_1_FEA,I_2_FEA,I_3_FEA,I_4_FEA,I_S_FEA
0,-1.89E-13,-0.076068272,-0.114627045,-1.89E-13,-0.190695317
0.01,0.06279052,-0.080283962,-0.1116415,0.06279052,-0.191925462
0.02,0.125333234,-0.084192252,-0.108205901,0.125333234,-0.192398153
0.03,0.187381315,-0.087777714,-0.104333813,0.187381315,-0.192111527
0.04,0.248689887,-0.091026192,-0.100040522,0.248689887,-0.191066714
0.05,0.309016994,-0.093924861,-0.095342977,0.309016994,-0.189267838
0.06,0.368124553,-0.096462277,-0.09025972,0.368124553,-0.186721997
0.07,0.425779292,-0.09862842,-0.08481082,0.425779292,-0.18343924
0.08,0.481753674,-0.100414738,-0.079017784,0.481753674,-0.179432521
0.09,0.535826795,-0.101814175,-0.072903479,0.535826795,-0.174717654
0.1,0.587785252,-0.102821204,-0.066492042,0.587785252,-0.169313246
0.11,0.63742399,-0.103431847,-0.059808779,0.63742399,-0.163240626
0.12,0.684547106,-0.103643688,-0.052880072,0.684547106,-0.15652376
0.13,0.728968627,-0.103455886,-0.04573327,0.728968627,-0.149189156
0.14,0.770513243,-0.102869179,-0.038396581,0.770513243,-0.14126576
0.15,0.809016994,-0.101885876,-0.030898967,0.809016994,-0.132784843
0.16,0.844327926,-0.100509855,-0.02327002,0.844327926,-0.123779875
0.17,0.87630668,-0.09874654,-0.015539854,0.87630668,-0.114286394
0.18,0.904827052,-0.096602886,-0.007738981,0.904827052,-0.104341867
0.19,0.929776486,-0.094087349,0.000101808,0.929776486,-0.093985541
0.2,0.951056516,-0.091209851,0.007951564,0.951056516,-0.083258287
0.21,0.968583161,-0.087981744,0.015779303,0.968583161,-0.072202441
0.22,0.982287251,-0.084415763,0.023554129,0.982287251,-0.060861635
0.23,0.992114701,-0.080525977,0.031245352,0.992114701,-0.049280626
0.24,0.998026728,-0.076327733,0.038822614,0.998026728,-0.037505119
0.25,1,-0.071837594,0.046256007,1,-0.025581587
0.26,0.998026728,-0.067073277,0.05351619,0.998026728,-0.013557087
0.27,0.992114701,-0.062053579,0.060574506,0.992114701,-0.001479073
0.28,0.982287251,-0.056798307,0.067403093,0.982287251,0.010604787
0.29,0.968583161,-0.051328195,0.073974999,0.968583161,0.022646804
0.3,0.951056516,-0.045664828,0.080264282,0.951056516,0.034599455
0.31,0.929776486,-0.039830551,0.086246117,0.929776486,0.046415566
0.32,0.904827052,-0.033848386,0.091896892,0.904827052,0.058048506
0.33,0.87630668,-0.027741937,0.097194301,0.87630668,0.069452364
0.34,0.844327926,-0.021535298,0.102117433,0.844327926,0.080582135
0.35,0.809016994,-0.01525296,0.106646854,0.809016994,0.091393894
0.36,0.770513243,-0.008919711,0.110764684,0.770513243,0.101844972
0.37,0.728968627,-0.002560543,0.114454667,0.728968627,0.111894125
0.38,0.684547106,0.003799454,0.117702237,0.684547106,0.121501691
0.39,0.63742399,0.010135183,0.120494572,0.63742399,0.130629755
0.4,0.587785252,0.016421644,0.122820647,0.587785252,0.139242292
0.41,0.535826795,0.022634033,0.124671279,0.535826795,0.147305312
0.42,0.481753674,0.028747836,0.126039158,0.481753674,0.154786994
0.43,0.425779292,0.034738929,0.126918883,0.425779292,0.161657812
0.44,0.368124553,0.040583673,0.127306976,0.368124553,0.16789065
0.45,0.309016994,0.046259006,0.127201902,0.309016994,0.173460908
0.46,0.248689887,0.051742533,0.126604072,0.248689887,0.178346605
0.47,0.187381315,0.057012619,0.125515839,0.187381315,0.182528458
0.48,0.125333234,0.062048469,0.123941494,0.125333234,0.185989963
0.49,0.06279052,0.066830214,0.121887247,0.06279052,0.18871746
0.5,1.93E-13,0.071338985,0.119361199,1.93E-13,0.190700184
0.51,-0.06279052,0.075556994,0.116373316,-0.06279052,0.19193031
0.52,-0.125333234,0.079467599,0.112935385,-0.125333234,0.192402984
0.53,-0.187381315,0.08305537,0.109060969,-0.187381315,0.192116339
0.54,-0.248689887,0.086306153,0.104765356,-0.248689887,0.191071508
0.55,-0.309016994,0.089207121,0.100065492,-0.309016994,0.189272614
0.56,-0.368124553,0.091746832,0.094979923,-0.368124553,0.186726755
0.57,-0.425779292,0.093915266,0.089528714,-0.425779292,0.18344398
0.58,-0.481753674,0.09570387,0.083733375,-0.481753674,0.179437244
0.59,-0.535826795,0.097105589,0.077616771,-0.535826795,0.17472236
0.6,-0.587785252,0.098114895,0.07120304,-0.587785252,0.169317935
0.61,-0.63742399,0.09872781,0.064517488,-0.63742399,0.163245297
0.62,-0.684547106,0.098941918,0.057586496,-0.684547106,0.156528414
0.63,-0.728968627,0.09875638,0.050437412,-0.728968627,0.149193793
0.64,-0.770513243,0.098171932,0.043098448,-0.770513243,0.14127038
0.65,-0.809016994,0.097190884,0.035598562,-0.809016994,0.132789446
0.66,-0.844327926,0.095817112,0.027967349,-0.844327926,0.123784461
0.67,-0.87630668,0.094056043,0.020234921,-0.87630668,0.114290964
0.68,-0.904827052,0.09191463,0.01243179,-0.904827052,0.10434642
0.69,-0.929776486,0.089401329,0.004588748,-0.929776486,0.093990077
0.7,-0.951056516,0.086526064,-0.003263257,-0.951056516,0.083262807
0.71,-0.968583161,0.083300185,-0.011093241,-0.968583161,0.072206944
0.72,-0.982287251,0.079736428,-0.018870306,-0.982287251,0.060866122
0.73,-0.992114701,0.075848862,-0.026563765,-0.992114701,0.049285097
0.74,-0.998026728,0.071652833,-0.034143259,-0.998026728,0.037509574
0.75,-1,0.067164906,-0.041578879,-1,0.025586027
0.76,-0.998026728,0.062402796,-0.048841285,-0.998026728,0.01356151
0.77,-0.992114701,0.057385301,-0.055901819,-0.992114701,0.001483481
0.78,-0.982287251,0.052132227,-0.062732622,-0.982287251,-0.010600395
0.79,-0.968583161,0.04666431,-0.069306738,-0.968583161,-0.022642428
0.8,-0.951056516,0.041003133,-0.075598227,-0.951056516,-0.034595093
0.81,-0.929776486,0.035171043,-0.081582264,-0.929776486,-0.04641122
0.82,-0.904827052,0.029191061,-0.087235236,-0.904827052,-0.058044175
0.83,-0.87630668,0.02308679,-0.092534838,-0.87630668,-0.069448049
0.84,-0.844327926,0.016882325,-0.09746016,-0.844327926,-0.080577835
0.85,-0.809016994,0.010602157,-0.101991766,-0.809016994,-0.091389609
0.86,-0.770513243,0.004271075,-0.106111778,-0.770513243,-0.101840703
0.87,-0.728968627,-0.002085931,-0.109803939,-0.728968627,-0.11188987
0.88,-0.684547106,-0.008443769,-0.113053682,-0.684547106,-0.121497451
0.89,-0.63742399,-0.014777343,-0.115848186,-0.63742399,-0.130625529
0.9,-0.587785252,-0.021061654,-0.118176427,-0.587785252,-0.139238081
0.91,-0.535826795,-0.027271896,-0.12002922,-0.535826795,-0.147301115
0.92,-0.481753674,-0.033383556,-0.121399257,-0.481753674,-0.154782813
0.93,-0.425779292,-0.03937251,-0.122281135,-0.425779292,-0.161653645
0.94,-0.368124553,-0.045215118,-0.122671378,-0.368124553,-0.167886497
0.95,-0.309016994,-0.050888319,-0.12256845,-0.309016994,-0.17345677
0.96,-0.248689887,-0.056369719,-0.121972762,-0.248689887,-0.17834248
0.97,-0.187381315,-0.06163768,-0.120886667,-0.187381315,-0.182524347
0.98,-0.125333234,-0.06667141,-0.119314457,-0.125333234,-0.185985867
0.99,-0.06279052,-0.071451038,-0.11726234,-0.06279052,-0.188713377
1,-1.22E-15,-0.075957696,-0.114738419,-1.22E-15,-0.190696115
