Time_Analysis,I_1_Analysis,I_2_Analysis,I_3_Analysis,I_4_Analysis
0,0,-0.413769388,-0.582313857,0
0.0102,0.127877162,-0.46152992,-0.642945707,0.127877162
0.0204,0.253654584,-0.501712143,-0.693020406,0.253654584
0.0306,0.375267005,-0.533656266,-0.73171573,0.375267005
0.0408,0.490717552,-0.556837769,-0.758396301,0.490717552
0.051,0.59811053,-0.570876011,-0.772624026,0.59811053
0.0612,0.695682551,-0.575540484,-0.774165286,0.695682551
0.07145,0.781831482,-0.570754598,-0.762994773,0.781831482
0.08165,0.855142763,-0.556596938,-0.739295907,0.855142763
0.09185,0.914412623,-0.533299972,-0.703457823,0.914412623
0.10205,0.958667853,-0.501246234,-0.65606898,0.958667853
0.11225,0.987181783,-0.460962048,-0.597907504,0.987181783
0.12245,0.999486216,-0.413108877,-0.529928402,0.999486216
0.13265,0.995379113,-0.35847247,-0.453247891,0.995379113
0.14285,0.974927912,-0.297949955,-0.369125062,0.974927912
0.15305,0.938468422,-0.23253511,-0.27894121,0.938468422
0.16325,0.886599306,-0.163302045,-0.18417715,0.886599306
0.17345,0.820172255,-0.091387564,-0.086388907,0.820172255
0.18365,0.740277997,-0.017972503,0.012817839,0.740277997
0.1939,0.648228395,0.055737667,0.111814117,0.648228395
0.2041,0.545534901,0.128532625,0.20897441,0.545534901
0.2143,0.433883739,0.199217082,0.302703349,0.433883739
0.2245,0.315108218,0.266630399,0.391461908,0.315108218
0.2347,0.191158629,0.329665653,0.473792673,0.191158629
0.2449,0.06407022,0.387287806,0.548343775,0.06407022
0.2551,-0.06407022,0.438550703,0.613891087,-0.06407022
0.2653,-0.191158629,0.482612611,0.669358325,-0.191158629
0.2755,-0.315108218,0.518750032,0.713834718,-0.315108218
0.2857,-0.433883739,0.546369593,0.746589964,-0.433883739
0.2959,-0.545534901,0.565017779,0.767086224,-0.545534901
0.3061,-0.648228395,0.57438839,0.774986949,-0.648228395
0.31635,-0.740277997,0.574327559,0.77016241,-0.740277997
0.32655,-0.820172255,0.564836285,0.752691826,-0.820172255
0.33675,-0.886599306,0.546070415,0.722862062,-0.886599306
0.34695,-0.938468422,0.518338084,0.681162924,-0.938468422
0.35715,-0.974927912,0.482094656,0.628279109,-0.974927912
0.36735,-0.995379113,0.437935247,0.565078968,-0.995379113
0.37755,-0.999486216,0.386584954,0.492600247,-0.999486216
0.38775,-0.987181783,0.328886946,0.412033043,-0.987181783
0.39795,-0.958667853,0.265788624,0.324700267,-0.958667853
0.40815,-0.914412623,0.198326059,0.232035923,-0.914412623
