Time_Analysis,I_1_Analysis,I_2_Analysis,I_3_Analysis,I_4_Analysis,I_S_Analysis,,,,,,,
0,0,-0.575396966,-0.809737572,0,-1.385134538,,,,,,,
0.01010101,0.494462318,-0.632928711,-0.865259489,0.494462318,-1.4981882,,,,,,,
0.02020202,0.498317076,-0.462533296,-0.625269192,0.498317076,-1.087802488,,,,,,,
0.03030303,0.499886354,-0.347015052,-0.462623354,0.499886354,-0.809638406,,,,,,,
0.04040404,0.500696652,-0.266771051,-0.349656872,0.500696652,-0.616427923,,,,,,,
0.050505051,0.501047522,-0.209471645,-0.269003215,0.501047522,-0.478474859,,,,,,,
0.060606061,0.501065373,-0.167445749,-0.209860611,0.501065373,-0.37730636,,,,,,,
0.070707071,0.500849059,-0.135861672,-0.165424488,0.500849059,-0.301286159,,,,,,,
0.080808081,0.500497068,-0.11162361,-0.131333157,0.500497068,-0.242956767,,,,,,,
0.090909091,0.500106153,-0.092706934,-0.104732441,0.500106153,-0.197439375,,,,,,,
0.101010101,0.499761568,-0.077754054,-0.083707467,0.499761568,-0.161461521,,,,,,,
0.111111111,0.499526412,-0.06582588,-0.06693343,0.499526412,-0.13275931,,,,,,,
0.121212121,0.499433983,-0.056247807,-0.053459274,0.499433983,-0.109707082,,,,,,,
0.131313131,0.499485207,-0.04851455,-0.042573876,0.499485207,-0.091088426,,,,,,,
0.141414141,0.499651785,-0.042232395,-0.033724631,0.499651785,-0.075957026,,,,,,,
0.151515152,0.499884419,-0.037085519,-0.026469629,0.499884419,-0.063555148,,,,,,,
0.161616162,0.500124427,-0.032817495,-0.020451028,0.500124427,-0.053268524,,,,,,,
0.171717172,0.500316429,-0.029221754,-0.015380979,0.500316429,-0.044602734,,,,,,,
0.181818182,0.500419626,-0.026136478,-0.011033859,0.500419626,-0.037170337,,,,,,,
0.191919192,0.500415515,-0.023440726,-0.007240427,0.500415515,-0.030681153,,,,,,,
0.202020202,0.500310643,-0.021049748,-0.003881076,0.500310643,-0.024930824,,,,,,,
0.212121212,0.500134028,-0.018908488,-0.000876838,0.500134028,-0.019785326,,,,,,,
0.222222222,0.49992993,-0.016983258,0.001821975,0.49992993,-0.015161283,,,,,,,
0.232323232,0.499747599,-0.015252292,0.004248527,0.499747599,-0.011003765,,,,,,,
0.242424242,0.499630205,-0.013696369,0.006432087,0.499630205,-0.007264281,,,,,,,
0.252525253,0.499605266,-0.012290853,0.008408742,0.499605266,-0.003882111,,,,,,,
0.262626263,0.499678606,-0.011000292,0.01022868,0.499678606,-0.000771612,,,,,,,
0.272727273,0.499833078,-0.009776288,0.011959128,0.499833078,0.00218284,,,,,,,
0.282828283,0.500032321,-0.008558712,0.013682836,0.500032321,0.005124125,,,,,,,
0.292929293,0.500228784,-0.007279663,0.015492908,0.500228784,0.008213246,,,,,,,
0.303030303,0.500374322,-0.005869043,0.017485516,0.500374322,0.011616473,,,,,,,
0.313131313,0.500431157,-0.004260213,0.019752494,0.500431157,0.015492281,,,,,,,
0.323232323,0.500380866,-0.002394176,0.022375921,0.500380866,0.019981745,,,,,,,
0.333333333,0.500229433,-0.000220938,0.025426458,0.500229433,0.02520552,,,,,,,
0.343434343,0.500007185,0.002302805,0.028966605,0.500007185,0.03126941,,,,,,,
0.353535354,0.499763442,0.005219892,0.033059185,0.499763442,0.038279077,,,,,,,
0.363636364,0.49955679,0.008582418,0.037780528,0.49955679,0.046362946,,,,,,,
0.373737374,0.499442797,0.012464041,0.043237145,0.499442797,0.055701186,,,,,,,
0.383838384,0.499461549,0.016973689,0.049584392,0.499461549,0.066558081,,,,,,,
0.393939394,0.499627473,0.022269636,0.057045744,0.499627473,0.07931538,,,,,,,
0.404040404,0.499923495,0.028573383,0.065932035,0.499923495,0.094505418,,,,,,,
0.414141414,0.500300746,0.036183725,0.076661233,0.500300746,0.112844957,,,,,,,
0.424242424,0.500683838,0.045492683,0.089781139,0.500683838,0.135273822,,,,,,,
0.434343434,0.500980374,0.057006728,0.105999741,0.500980374,0.163006469,,,,,,,
0.444444444,0.501091793,0.071379055,0.126231185,0.501091793,0.19761024,,,,,,,
0.454545455,0.500920273,0.089462316,0.15167035,0.500920273,0.241132666,,,,,,,
0.464646465,0.500360082,0.112398691,0.183919146,0.500360082,0.296317837,,,,,,,
0.474747475,0.499233594,0.141787717,0.225219416,0.499233594,0.367007133,,,,,,,
0.484848485,0.496933848,0.180108877,0.279029222,0.496933848,0.4591381,,,,,,,
0.494949495,0.487775433,0.234008772,0.354409593,0.487775433,0.588418365,,,,,,,
0.505050505,-0.487775433,0.746156234,1.024944975,-0.487775433,1.771101209,,,,,,,
0.515151515,-0.496933848,0.539303162,0.733376114,-0.496933848,1.272679277,,,,,,,
0.525252525,-0.499233594,0.399342827,0.536296129,-0.499233594,0.935638956,,,,,,,
0.535353535,-0.500360082,0.303391235,0.401208592,-0.500360082,0.704599828,,,,,,,
0.545454545,-0.500920273,0.235816279,0.306083715,-0.500920273,0.541899994,,,,,,,
0.555555556,-0.501091793,0.186902397,0.237239964,-0.501091793,0.424142361,,,,,,,
0.565656566,-0.500980374,0.150573256,0.186120869,-0.500980374,0.336694124,,,,,,,
0.575757576,-0.500683838,0.122970342,0.147291436,-0.500683838,0.270261778,,,,,,,
0.585858586,-0.500300746,0.101597093,0.117233264,-0.500300746,0.218830357,,,,,,,
0.595959596,-0.499923495,0.084801362,0.093616583,-0.499923495,0.178417945,,,,,,,
0.606060606,-0.499627473,0.071458901,0.0748554,-0.499627473,0.146314302,,,,,,,
0.616161616,-0.499461549,0.060777809,0.059832781,-0.499461549,0.12061059,,,,,,,
0.626262626,-0.499442797,0.052177312,0.047730544,-0.499442797,0.099907856,,,,,,,
0.636363636,-0.49955679,0.045213376,0.037924557,-0.49955679,0.083137933,,,,,,,
0.646464646,-0.499763442,0.039534323,0.029921976,-0.499763442,0.069456299,,,,,,,
0.656565657,-0.500007185,0.034855657,0.0233253,-0.500007185,0.058180957,,,,,,,
0.666666667,-0.500229433,0.030946707,0.017812926,-0.500229433,0.048759632,,,,,,,
0.676767677,-0.500380866,0.027623777,0.013128883,-0.500380866,0.04075266,,,,,,,
0.686868687,-0.500431157,0.02474599,0.009076478,-0.500431157,0.033822468,,,,,,,
0.696969697,-0.500374322,0.022211188,0.005512256,-0.500374322,0.027723444,,,,,,,
0.707070707,-0.500228784,0.019950402,0.002338214,-0.500228784,0.022288616,,,,,,,
0.717171717,-0.500032321,0.017920396,-0.00050844,-0.500032321,0.017411956,,,,,,,
0.727272727,-0.499833078,0.01609465,-0.003067502,-0.499833078,0.013027148,,,,,,,
0.737373737,-0.499678606,0.014453785,-0.005368691,-0.499678606,0.009085094,,,,,,,
0.747474747,-0.499605266,0.01297673,-0.007443528,-0.499605266,0.005533202,,,,,,,
0.757575758,-0.499630205,0.011633923,-0.009334501,-0.499630205,0.002299422,,,,,,,
0.767676768,-0.499747599,0.010383489,-0.011100236,-0.499747599,-0.000716748,,,,,,,
0.777777778,-0.49992993,0.009170819,-0.012816169,-0.49992993,-0.003645349,,,,,,,
0.787878788,-0.500134028,0.007931271,-0.014571046,-0.500134028,-0.006639776,,,,,,,
0.797979798,-0.500310643,0.006595105,-0.016460476,-0.500310643,-0.00986537,,,,,,,
0.808080808,-0.500415515,0.005093303,-0.018579309,-0.500415515,-0.013486005,,,,,,,
0.818181818,-0.500419626,0.003362673,-0.02101498,-0.500419626,-0.017652307,,,,,,,
0.828282828,-0.500316429,0.001348766,-0.023843777,-0.500316429,-0.022495012,,,,,,,
0.838383838,-0.500124427,-0.000994531,-0.027131545,-0.500124427,-0.028126076,,,,,,,
0.848484848,-0.499884419,-0.003709276,-0.030939569,-0.499884419,-0.034648844,,,,,,,
0.858585859,-0.499651785,-0.006841533,-0.035335524,-0.499651785,-0.042177058,,,,,,,
0.868686869,-0.499485207,-0.010452527,-0.040408588,-0.499485207,-0.050861114,,,,,,,
0.878787879,-0.499433983,-0.01463179,-0.046287295,-0.499433983,-0.060919085,,,,,,,
0.888888889,-0.499526412,-0.019511175,-0.053158651,-0.499526412,-0.072669826,,,,,,,
0.898989899,-0.499761568,-0.025278843,-0.061287403,-0.499761568,-0.086566246,,,,,,,
0.909090909,-0.500106153,-0.032193125,-0.071035378,-0.500106153,-0.103228503,,,,,,,
0.919191919,-0.500497068,-0.040597211,-0.08288229,-0.500497068,-0.123479501,,,,,,,
0.929292929,-0.500849059,-0.050937172,-0.097451494,-0.500849059,-0.148388666,,,,,,,
0.939393939,-0.501065373,-0.063787806,-0.115546906,-0.501065373,-0.179334712,,,,,,,
0.949494949,-0.501047522,-0.079893645,-0.138211214,-0.501047522,-0.218104859,,,,,,,
0.95959596,-0.500696652,-0.100237455,-0.16682235,-0.500696652,-0.267059805,,,,,,,
0.96969697,-0.499886354,-0.126161011,-0.203262042,-0.499886354,-0.329423053,,,,,,,
0.97979798,-0.498317076,-0.159614681,-0.25025957,-0.498317076,-0.409874251,,,,,,,
0.98989899,-0.494462318,-0.204074183,-0.312627661,-0.494462318,-0.516701844,,,,,,,
1,-6.30E-14,-0.575396966,-0.809737572,-6.30E-14,-1.385134538,,,,,,,
