Time_FEA,I_1_FEA,I_2_FEA,I_3_FEA,I_4_FEA,I_S_FEA
0,-1,0.123167672,-0.122699934,-1,0.000467738
0.01,1,-0.935312081,-1.484853406,1,-2.420165487
0.02,1,-0.570026581,-0.90854343,1,-1.478570011
0.03,1,-0.346868462,-0.5568357,1,-0.903704162
0.04,1,-0.210778594,-0.342167149,1,-0.552945742
0.05,1,-0.12773849,-0.211046124,1,-0.338784614
0.06,1,-0.07704824,-0.130899126,1,-0.207947366
0.07,1,-0.046096851,-0.081867335,1,-0.127964186
0.08,1,-0.027195259,-0.051837125,1,-0.079032383
0.09,1,-0.015652903,-0.033416251,1,-0.049069155
0.1,1,-0.008607203,-0.022091941,1,-0.030699145
0.11,1,-0.004310499,-0.015108224,1,-0.019418723
0.12,1,-0.001695403,-0.010781353,1,-0.012476756
0.13,1,-0.000109745,-0.008082197,1,-0.008191943
0.14,1,0.000845127,-0.006381425,1,-0.005536298
0.15,1,0.001413027,-0.005293957,1,-0.00388093
0.16,1,0.001743159,-0.004584,1,-0.002840841
0.17,1,0.001926901,-0.004107043,1,-0.002180142
0.18,1,0.002020267,-0.003774417,1,-0.00175415
0.19,1,0.002057634,-0.003531638,1,-0.001474004
0.2,1,0.002060135,-0.003345167,1,-0.001285032
0.21,1,0.002040781,-0.003194302,1,-0.00115352
0.22,1,0.002007611,-0.003066227,1,-0.001058616
0.23,1,0.001965602,-0.002952971,1,-0.000987369
0.24,1,0.001917854,-0.002849551,1,-0.000931697
0.25,1,0.001866307,-0.002752824,1,-0.000886517
0.26,1,0.001812186,-0.002660792,1,-0.000848606
0.27,1,0.001756271,-0.002572164,1,-0.000815893
0.28,1,0.001699068,-0.002486097,1,-0.000787029
0.29,1,0.001640907,-0.002402024,1,-0.000761116
0.3,1,0.001582012,-0.002319558,1,-0.000737546
0.31,1,0.001522536,-0.002238427,1,-0.000715891
0.32,1,0.001462586,-0.002158432,1,-0.000695846
0.33,1,0.001402242,-0.002079424,1,-0.000677182
0.34,1,0.001341564,-0.002001288,1,-0.000659725
0.35,1,0.001280597,-0.001923933,1,-0.000643336
0.36,1,0.001219379,-0.001847283,1,-0.000627903
0.37,1,0.00115794,-0.001771275,1,-0.000613334
0.38,1,0.001096306,-0.001695857,1,-0.000599551
0.39,1,0.001034498,-0.001620981,1,-0.000586484
0.4,1,0.000972534,-0.001546609,1,-0.000574075
0.41,1,0.000910432,-0.001472704,1,-0.000562272
0.42,1,0.000848206,-0.001399235,1,-0.000551029
0.43,1,0.000785868,-0.001326174,1,-0.000540306
0.44,1,0.000723431,-0.001253494,1,-0.000530064
0.45,1,0.000660904,-0.001181174,1,-0.00052027
0.46,1,0.000598298,-0.001109193,1,-0.000510895
0.47,1,0.00053562,-0.00103753,1,-0.00050191
0.48,1,0.000472878,-0.00096617,1,-0.000493292
0.49,1,0.00041008,-0.000895096,1,-0.000485016
0.5,1,0.000347232,-0.000824294,1,-0.000477062
0.51,-1,1.058726371,1.361429829,-1,2.4201562
0.52,-1,0.693340537,0.785220224,-1,1.478560761
0.53,-1,0.470082364,0.433612584,-1,0.903694948
0.54,-1,0.333892718,0.219043847,-1,0.552936565
0.55,-1,0.250753112,0.088022359,-1,0.338775471
0.56,-1,0.199963635,0.007974624,-1,0.207938259
0.57,-1,0.168913293,-0.040958179,-1,0.127955115
0.58,-1,0.14991302,-0.070889673,-1,0.079023347
