Time_FEA,I_1_FEA,I_2_FEA,I_3_FEA,I_4_FEA,I_S_FEA
0,-3.79E-13,-0.361396934,-0.564780885,-3.79E-13,-0.926177819
0.01,0.125333234,-0.413001495,-0.627090208,0.125333234,-1.040091703
0.02,0.248689887,-0.458123375,-0.679479232,0.248689887,-1.137602606
0.03,0.368124553,-0.496050955,-0.721121771,0.368124553,-1.217172726
0.04,0.481753674,-0.526186077,-0.751361117,0.481753674,-1.277547194
0.05,0.587785252,-0.548053473,-0.769720396,0.587785252,-1.317773869
0.06,0.684547106,-0.561308263,-0.77591009,0.684547106,-1.337218353
0.07,0.770513243,-0.565741391,-0.769832603,0.770513243,-1.335573994
0.08,0.844327926,-0.561282927,-0.7515838,0.844327926,-1.312866727
0.09,0.904827052,-0.548003165,-0.721451494,0.904827052,-1.269454659
0.1,0.951056516,-0.526111515,-0.679910909,0.951056516,-1.206022423
0.11,0.982287251,-0.495953204,-0.627617183,0.982287251,-1.123570386
0.12,0.998026728,-0.458003828,-0.565395038,0.998026728,-1.023398866
0.13,0.998026728,-0.412861852,-0.494225774,0.998026728,-0.907087627
0.14,0.982287251,-0.361239176,-0.415231792,0.982287251,-0.776470967
0.15,0.951056516,-0.3039499,-0.329658891,0.951056516,-0.633608791
0.16,0.904827052,-0.241897493,-0.238856626,0.904827052,-0.480754119
0.17,0.844327926,-0.17606054,-0.144257023,0.844327926,-0.320317563
0.18,0.770513243,-0.107477311,-0.047351991,0.770513243,-0.154829303
0.19,0.684547106,-0.037229387,0.0503302,0.684547106,0.013100813
0.2,0.587785252,0.033575399,0.147249026,0.587785252,0.180824425
0.21,0.481753674,0.103820432,0.241876,0.481753674,0.345696432
0.22,0.368124553,0.172397922,0.33271878,0.368124553,0.505116702
0.23,0.248689887,0.23822638,0.418344703,0.248689887,0.656571083
0.24,0.125333234,0.300267669,0.497403379,0.125333234,0.797671049
0.25,3.75E-13,0.35754338,0.568647987,3.75E-13,0.926191367
0.26,-0.125333234,0.409150258,0.630954938,-0.125333234,1.040105196
0.27,-0.248689887,0.454274448,0.683341597,-0.248689887,1.137616046
