layerThickness,layerSpacing,I3toI4_p5,I3toI4_1,I3toI4_1p5,I3toI4_2,I3toI4_2p5,I3toI3,I3toI4_3p5,I3toI4_4,I3toI4_4p5,I3toI4_5,I3toI4_5p5,I3toI4_5p5,I3toI4_6,I3toI4_6p5,I3toI4_7,I3toI4_7p5,I3toI4_8,I3toI4_8p5,I3toI4_9,I3toI4_9p5,I3toI4_10
0.0005,0.0005,0.18234,0.250851,0.313634,0.370843,0.424396,0.474335,0.520763,0.56476,0.606272,0.645168,0.682517,0.71728,0.71728,0.750516,0.781778,0.811487,0.839567,0.866642,0.892054,0.916598,0.939865
0.001,0.0005,0.237297,0.298109,0.354655,0.406896,0.45572,0.501664,0.545451,0.586411,0.625047,0.661654,0.69595,0.728799,0.728799,0.760227,0.789968,0.8179,0.844848,0.870977,0.895067,0.919021,0.940887
0.0015,0.0005,0.2854,0.340138,0.391262,0.439973,0.484788,0.528082,0.567953,0.606335,0.642641,0.676688,0.709315,0.740162,0.740162,0.770324,0.798211,0.824633,0.85095,0.875307,0.898733,0.920904,0.942474
0.002,0.0005,0.327145,0.377622,0.42511,0.46953,0.511578,0.551792,0.589181,0.625157,0.658716,0.691471,0.722232,0.751685,0.751685,0.779603,0.805975,0.831512,0.856064,0.87938,0.901594,0.923081,0.943663
0.0025,0.0005,0.364402,0.411537,0.455495,0.496982,0.5361,0.573238,0.608513,0.642486,0.674461,0.704431,0.733954,0.761729,0.761729,0.788242,0.813511,0.838094,0.861236,0.883245,0.905154,0.925542,0.945161
0.003,0.0005,0.398982,0.441751,0.482654,0.521347,0.55818,0.593378,0.626509,0.658211,0.688799,0.717239,0.744852,0.771035,0.771035,0.796316,0.820713,0.843868,0.865995,0.887241,0.907846,0.92746,0.946347
0.0035,0.0005,0.429366,0.469398,0.507962,0.544124,0.578434,0.611399,0.642717,0.672717,0.701442,0.72859,0.75501,0.779639,0.779639,0.803928,0.826917,0.849239,0.870365,0.89095,0.910429,0.929294,0.948007
0.004,0.0005,0.456736,0.495287,0.530633,0.564302,0.597384,0.628073,0.657675,0.686149,0.713189,0.739476,0.764112,0.788044,0.788044,0.810942,0.833281,0.854224,0.874728,0.894461,0.913517,0.931878,0.94925
0.0045,0.0005,0.482801,0.517709,0.55144,0.583343,0.614105,0.643708,0.67154,0.6987,0.72459,0.749222,0.773032,0.795795,0.795795,0.817995,0.838834,0.859374,0.878748,0.897791,0.915881,0.933538,0.950114
0.005,0.0005,0.505688,0.538919,0.570565,0.600905,0.629975,0.658013,0.68468,0.710122,0.734337,0.75803,0.780721,0.802685,0.802685,0.823631,0.84391,0.863698,0.882409,0.900712,0.918062,0.934862,0.95135
