layerThickness	layerSpacing	I3toI4
0.0005	0.0005	0.18234
0.001	0.0005	0.237297
0.0015	0.0005	0.2854
0.002	0.0005	0.327145
0.0025	0.0005	0.364402
0.003	0.0005	0.398982
0.0035	0.0005	0.429366
0.004	0.0005	0.456736
0.0045	0.0005	0.482801
0.005	0.0005	0.505688
0.0005	0.001	0.250851
0.001	0.001	0.298109
0.0015	0.001	0.340138
0.002	0.001	0.377622
0.0025	0.001	0.411537
0.003	0.001	0.441751
0.0035	0.001	0.469398
0.004	0.001	0.495287
0.0045	0.001	0.517709
0.005	0.001	0.538919
0.0005	0.0015	0.313634
0.001	0.0015	0.354655
0.0015	0.0015	0.391262
0.002	0.0015	0.42511
0.0025	0.0015	0.455495
0.003	0.0015	0.482654
0.0035	0.0015	0.507962
0.004	0.0015	0.530633
0.0045	0.0015	0.55144
0.005	0.0015	0.570565
0.0005	0.002	0.370843
0.001	0.002	0.406896
0.0015	0.002	0.439973
0.002	0.002	0.46953
0.0025	0.002	0.496982
0.003	0.002	0.521347
0.0035	0.002	0.544124
0.004	0.002	0.564302
0.0045	0.002	0.583343
0.005	0.002	0.600905
0.0005	0.0025	0.424396
0.001	0.0025	0.45572
0.0015	0.0025	0.484788
0.002	0.0025	0.511578
0.0025	0.0025	0.5361
0.003	0.0025	0.55818
0.0035	0.0025	0.578434
0.004	0.0025	0.597384
0.0045	0.0025	0.614105
0.005	0.0025	0.629975
0.0005	0.003	0.474335
0.001	0.003	0.501664
0.0015	0.003	0.528082
0.002	0.003	0.551792
0.0025	0.003	0.573238
0.003	0.003	0.593378
0.0035	0.003	0.611399
0.004	0.003	0.628073
0.0045	0.003	0.643708
0.005	0.003	0.658013
0.0005	0.0035	0.520763
0.001	0.0035	0.545451
0.0015	0.0035	0.567953
0.002	0.0035	0.589181
0.0025	0.0035	0.608513
0.003	0.0035	0.626509
0.0035	0.0035	0.642717
0.004	0.0035	0.657675
0.0045	0.0035	0.67154
0.005	0.0035	0.68468
0.0005	0.004	0.56476
0.001	0.004	0.586411
0.0015	0.004	0.606335
0.002	0.004	0.625157
0.0025	0.004	0.642486
0.003	0.004	0.658211
0.0035	0.004	0.672717
0.004	0.004	0.686149
0.0045	0.004	0.6987
0.005	0.004	0.710122
0.0005	0.0045	0.606272
0.001	0.0045	0.625047
0.0015	0.0045	0.642641
0.002	0.0045	0.658716
0.0025	0.0045	0.674461
0.003	0.0045	0.688799
0.0035	0.0045	0.701442
0.004	0.0045	0.713189
0.0045	0.0045	0.72459
0.005	0.0045	0.734337
0.0005	0.005	0.645168
0.001	0.005	0.661654
0.0015	0.005	0.676688
0.002	0.005	0.691471
0.0025	0.005	0.704431
0.003	0.005	0.717239
0.0035	0.005	0.72859
0.004	0.005	0.739476
0.0045	0.005	0.749222
0.005	0.005	0.75803
0.0005	0.0055	0.682517
0.001	0.0055	0.69595
0.0015	0.0055	0.709315
0.002	0.0055	0.722232
0.0025	0.0055	0.733954
0.003	0.0055	0.744852
0.0035	0.0055	0.75501
0.004	0.0055	0.764112
0.0045	0.0055	0.773032
0.005	0.0055	0.780721
0.0005	0.006	0.71728
0.001	0.006	0.728799
0.0015	0.006	0.740162
0.002	0.006	0.751685
0.0025	0.006	0.761729
0.003	0.006	0.771035
0.0035	0.006	0.779639
0.004	0.006	0.788044
0.0045	0.006	0.795795
0.005	0.006	0.802685
0.0005	0.0065	0.750516
0.001	0.0065	0.760227
0.0015	0.0065	0.770324
0.002	0.0065	0.779603
0.0025	0.0065	0.788242
0.003	0.0065	0.796316
0.0035	0.0065	0.803928
0.004	0.0065	0.810942
0.0045	0.0065	0.817995
0.005	0.0065	0.823631
0.0005	0.007	0.781778
0.001	0.007	0.789968
0.0015	0.007	0.798211
0.002	0.007	0.805975
0.0025	0.007	0.813511
0.003	0.007	0.820713
0.0035	0.007	0.826917
0.004	0.007	0.833281
0.0045	0.007	0.838834
0.005	0.007	0.84391
0.0005	0.0075	0.811487
0.001	0.0075	0.8179
0.0015	0.0075	0.824633
0.002	0.0075	0.831512
0.0025	0.0075	0.838094
0.003	0.0075	0.843868
0.0035	0.0075	0.849239
0.004	0.0075	0.854224
0.0045	0.0075	0.859374
0.005	0.0075	0.863698
0.0005	0.008	0.839567
0.001	0.008	0.844848
0.0015	0.008	0.85095
0.002	0.008	0.856064
0.0025	0.008	0.861236
0.003	0.008	0.865995
0.0035	0.008	0.870365
0.004	0.008	0.874728
0.0045	0.008	0.878748
0.005	0.008	0.882409
0.0005	0.0085	0.866642
0.001	0.0085	0.870977
0.0015	0.0085	0.875307
0.002	0.0085	0.87938
0.0025	0.0085	0.883245
0.003	0.0085	0.887241
0.0035	0.0085	0.89095
0.004	0.0085	0.894461
0.0045	0.0085	0.897791
0.005	0.0085	0.900712
0.0005	0.009	0.892054
0.001	0.009	0.895067
0.0015	0.009	0.898733
0.002	0.009	0.901594
0.0025	0.009	0.905154
0.003	0.009	0.907846
0.0035	0.009	0.910429
0.004	0.009	0.913517
0.0045	0.009	0.915881
0.005	0.009	0.918062
0.0005	0.0095	0.916598
0.001	0.0095	0.919021
0.0015	0.0095	0.920904
0.002	0.0095	0.923081
0.0025	0.0095	0.925542
0.003	0.0095	0.92746
0.0035	0.0095	0.929294
0.004	0.0095	0.931878
0.0045	0.0095	0.933538
0.005	0.0095	0.934862
0.0005	0.01	0.939865
0.001	0.01	0.940887
0.0015	0.01	0.942474
0.002	0.01	0.943663
0.0025	0.01	0.945161
0.003	0.01	0.946347
0.0035	0.01	0.948007
0.004	0.01	0.94925
0.0045	0.01	0.950114
0.005	0.01	0.95135
