layerThickness,layerSpacing,I3toI4,,,,
0.0005,0.0005,0.18234,,0.5,0.5,0.992
0.001,0.0005,0.237297,,1,0.5,0.992
0.0015,0.0005,0.2854,,1.5,0.5,0.992
0.002,0.0005,0.327145,,2,0.5,0.992
0.0025,0.0005,0.364402,,2.5,0.5,0.992
0.003,0.0005,0.398982,,3,0.5,0.992
0.0035,0.0005,0.429366,,3.5,0.5,0.992
0.004,0.0005,0.456736,,4,0.5,0.992
0.0045,0.0005,0.482801,,4.5,0.5,0.992
0.005,0.0005,0.505688,,5,0.5,0.992
0.0005,0.001,0.250851,,0.5,1,0.992
0.001,0.001,0.298109,,1,1,0.992
0.0015,0.001,0.340138,,1.5,1,0.992
0.002,0.001,0.377622,,2,1,0.992
0.0025,0.001,0.411537,,2.5,1,0.992
0.003,0.001,0.441751,,3,1,0.992
0.0035,0.001,0.469398,,3.5,1,0.992
0.004,0.001,0.495287,,4,1,0.992
0.0045,0.001,0.517709,,4.5,1,0.992
0.005,0.001,0.538919,,5,1,0.992
0.0005,0.0015,0.313634,,0.5,1.5,0.992
0.001,0.0015,0.354655,,1,1.5,0.992
0.0015,0.0015,0.391262,,1.5,1.5,0.992
0.002,0.0015,0.42511,,2,1.5,0.992
0.0025,0.0015,0.455495,,2.5,1.5,0.992
0.003,0.0015,0.482654,,3,1.5,0.992
0.0035,0.0015,0.507962,,3.5,1.5,0.992
0.004,0.0015,0.530633,,4,1.5,0.992
0.0045,0.0015,0.55144,,4.5,1.5,0.992
0.005,0.0015,0.570565,,5,1.5,0.992
0.0005,0.002,0.370843,,0.5,2,0.992
0.001,0.002,0.406896,,1,2,0.992
0.0015,0.002,0.439973,,1.5,2,0.992
0.002,0.002,0.46953,,2,2,0.992
0.0025,0.002,0.496982,,2.5,2,0.992
0.003,0.002,0.521347,,3,2,0.992
0.0035,0.002,0.544124,,3.5,2,0.992
0.004,0.002,0.564302,,4,2,0.992
0.0045,0.002,0.583343,,4.5,2,0.992
0.005,0.002,0.600905,,5,2,0.992
0.0005,0.0025,0.424396,,0.5,2.5,0.992
0.001,0.0025,0.45572,,1,2.5,0.992
0.0015,0.0025,0.484788,,1.5,2.5,0.992
0.002,0.0025,0.511578,,2,2.5,0.992
0.0025,0.0025,0.5361,,2.5,2.5,0.992
0.003,0.0025,0.55818,,3,2.5,0.992
