Load,LoadOverZmag,I_P_analysis,I_2_Analysis,I_4_Analysis,I_6_Analysis
0.004008667,0.00227554,0.999486216,1.531393346,0.992869746,0.474089
0.004502938,0.002556115,0.999486216,1.531383275,0.99286945,0.47408575
0.005058153,0.002871286,0.999486216,1.53137187,0.992869115,0.474082071
0.005681825,0.003225316,0.999486216,1.531358942,0.992868735,0.4740779
0.006382397,0.003623,0.999486216,1.531344272,0.992868304,0.474073167
0.00716935,0.004069717,0.999486216,1.531327608,0.992867815,0.474067791
0.008053335,0.004571516,0.999486216,1.531308655,0.992867258,0.474061676
0.009046315,0.005135186,0.999486216,1.53128707,0.992866624,0.474054712
0.010161731,0.005768358,0.999486216,1.531262449,0.992865901,0.474046769
0.011414677,0.006479599,0.999486216,1.531234323,0.992865074,0.474037694
0.012822113,0.007278537,0.999486216,1.531202134,0.992864129,0.47402731
0.014403086,0.008175984,0.999486216,1.531165227,0.992863045,0.474015402
0.016178994,0.009184087,0.999486216,1.531122823,0.992861799,0.474001722
0.018173872,0.01031649,0.999486216,1.531073998,0.992860365,0.47398597
0.02041472,0.011588518,0.999486216,1.531017647,0.992858709,0.47396779
0.022931866,0.013017389,0.999486216,1.530952449,0.992856794,0.473946755
0.025759377,0.01462244,0.999486216,1.530876816,0.992854572,0.473922354
0.028935521,0.016425394,0.999486216,1.530788834,0.992851988,0.473893968
0.032503286,0.018450653,0.999486216,1.53068619,0.992848973,0.473860853
0.036510958,0.020725628,0.999486216,1.530566077,0.992845444,0.473822101
0.041012778,0.023281109,0.999486216,1.530425085,0.992841302,0.473776613
0.046069675,0.026151682,0.999486216,1.53025905,0.992836425,0.473723046
0.05175009,0.029376198,0.999486216,1.530062884,0.992830663,0.473659758
0.058130903,0.032998299,0.999486216,1.529830348,0.992823832,0.473584736
0.065298474,0.037067006,0.999486216,1.529553775,0.992815707,0.473495507
0.073349809,0.041637387,0.999486216,1.529223723,0.992806011,0.473389023
0.082393879,0.046771299,0.999486216,1.528828542,0.992794403,0.473334561
0.092553087,0.052538224,0.999486216,1.529097951,0.992780458,0.47343054
0.103964931,0.059016215,0.999486216,1.529393085,0.992763653,0.473525757
0.116783861,0.066292945,0.999486216,1.529675351,0.992743338,0.473616824
0.131183371,0.074466899,0.999486216,1.529930283,0.992718708,0.473699071
0.147358349,0.083648706,0.999486216,1.530138274,0.992688761,0.473766174
0.16552771,0.093962635,0.999486216,1.530273089,0.99265225,0.473809669
0.185937363,0.105548277,0.999486216,1.530299964,0.992607625,0.47381834
0.208863536,0.118562434,0.999486216,1.53017322,0.992552958,0.473777449
0.234616518,0.133181244,0.999486216,1.529833253,0.992485847,0.473667767
0.263544857,0.14960256,0.999486216,1.529202777,0.992403306,0.473464359
0.296040075,0.168048634,0.999486216,1.528182142,0.992301621,0.473135076
0.33254197,0.188769118,0.999486216,1.52664355,0.992176185,0.472638687
0.373544567,0.212044448,0.999486216,1.524423982,0.992021289,0.471922597
0.419602806,0.238189638,0.999486216,1.521658706,0.99182988,0.471439229
0.47134005,0.267558544,0.999486216,1.521271152,0.991593273,0.471314194
0.529456523,0.300548652,0.999486216,1.519857854,0.991300832,0.470858228
0.594738787,0.337606456,0.999486216,1.517053997,0.990939603,0.469953632
0.668070388,0.379233508,0.999486216,1.512399505,0.990493947,0.468451973
0.750443814,0.425993196,0.999486216,1.505321517,0.989945174,0.466854785
0.842973925,0.478518378,0.999486216,1.501658945,0.98927126,0.465715549
0.946913048,0.537519943,0.999486216,1.494834454,0.988446711,0.463513793
1.063667919,0.603796431,0.999486216,1.483733036,0.987442715,0.460188536
