Load,LoadOverZmag,I_2_FEA,I_4_FEA,I_6_FEA
0.004,0.00227062,1.529133051,0.993811928,0.475541197
0.004488074,0.002547678,1.529132371,0.993812231,0.475541028
0.005035702,0.002858542,1.529132101,0.993812653,0.475540831
0.00565015,0.003207336,1.529131188,0.993813029,0.475540599
0.006339573,0.00359869,1.52913078,0.993813531,0.475540249
0.007113118,0.004037797,1.529129542,0.993813999,0.475539928
0.007981049,0.004530483,1.529128177,0.993814355,0.475539627
0.008954885,0.005083285,1.529127764,0.993815099,0.475539099
0.010047546,0.00570354,1.529126412,0.993815632,0.475538563
0.011273532,0.006399477,1.529123947,0.993816454,0.475537927
0.012649111,0.007180331,1.52912116,0.993817366,0.475537036
0.014192536,0.008056464,1.529119126,0.993809615,0.475544962
0.015924287,0.009039501,1.529114114,0.993812658,0.47554284
0.017867344,0.010142487,1.529109849,0.993813645,0.475541441
0.020047489,0.011380058,1.529115104,0.993804192,0.475539711
0.022493653,0.012768635,1.529108303,0.993805634,0.475537757
0.025238294,0.014326644,1.529109066,0.993799099,0.475534864
0.028317831,0.016074759,1.529100021,0.993800173,0.475531903
0.031773129,0.018036176,1.5290876,0.993801538,0.475528855
0.035650038,0.020236923,1.52909199,0.993785084,0.475524491
0.04,0.022706201,1.529084133,0.993766856,0.475529702
0.044880738,0.025476776,1.529063172,0.993756213,0.475535615
0.050357016,0.028585413,1.529036816,0.993757225,0.475527453
0.056501502,0.032073361,1.528988323,0.993775558,0.475515746
0.063395728,0.035986903,1.528953493,0.99377008,0.475504401
0.071131176,0.040377969,1.528896371,0.993791807,0.475474398
0.079810493,0.045304827,1.528833863,0.993793393,0.475454225
0.089548846,0.050832852,1.528754075,0.993797709,0.475428495
0.100475457,0.057035397,1.528630211,0.993815422,0.475407341
0.112735317,0.063994768,1.528434027,0.993889913,0.475367765
0.126491106,0.071803311,1.528379189,0.993817524,0.475299136
0.141925356,0.08056464,1.52818368,0.993812409,0.475250062
0.159242868,0.090395013,1.527837678,0.993909731,0.475181208
0.178673437,0.101424873,1.527416119,0.994026635,0.475084607
0.200474893,0.113800579,1.527018423,0.994049656,0.474964482
0.22493653,0.12768635,1.526376385,0.994187269,0.474842176
0.252382938,0.143266441,1.5257182,0.994223539,0.474682988
0.283178314,0.160747591,1.524985092,0.994204072,0.474462269
0.317731294,0.180361763,1.524025936,0.994215417,0.474187662
0.356500375,0.202369227,1.522878981,0.994061093,0.473965269
0.4,0.227062007,1.521646665,0.99372845,0.473644523
0.448807382,0.254767762,1.52002603,0.993514937,0.473103934
0.503570165,0.285854131,1.517828381,0.993304291,0.472537219
0.565015018,0.32073361,1.515117322,0.993224712,0.471582154
0.633957277,0.359869029,1.511641962,0.993102894,0.47051214
0.711311764,0.403779692,1.50740016,0.992821308,0.469249982
0.798104926,0.453048266,1.502071524,0.992809576,0.467335254
0.895488455,0.508328514,1.495760579,0.992428221,0.465115351
1.004754573,0.570353974,1.487576149,0.992236969,0.462442725
1.127353173,0.639947685,1.477913513,0.991514524,0.45939415
1.264911064,0.718033112,1.466079959,0.990732778,0.45561741
1.419253557,0.805646402,1.451472473,0.98951338,0.451675357
1.592428682,0.903950131,1.434119193,0.988761151,0.445787589
1.786734369,1.014248729,1.413609502,0.987596045,0.439170053
2.004748935,1.138005791,1.389514468,0.986416953,0.431198382
2.249365301,1.276863499,1.362283641,0.984579542,0.422128797
2.523829378,1.432664409,1.332310645,0.980533708,0.411463356
2.831783138,1.607475906,1.297545308,0.97838105,0.399488284
3.177312939,1.803617631,1.259525118,0.97641515,0.386272493
3.565003753,2.023692267,1.21886824,0.973767203,0.37213171
4,2.270620069,1.17632635,0.971119912,0.357202859
4.488073817,2.54767762,1.133064032,0.968302807,0.341785099
5.035701647,2.858541305,1.090113048,0.966020302,0.326231035
5.650150178,3.207336097,1.048117667,0.964495186,0.311294752
6.33957277,3.59869029,1.008235309,0.962862822,0.297009426
7.11311764,4.037796917,0.971137827,0.960807439,0.283300111
7.98104926,4.530482655,0.937424583,0.958782853,0.270634039
8.954884554,5.083285146,0.907391573,0.957399579,0.259383438
10.04754573,5.703539744,0.881068691,0.956245634,0.249343218
11.27353173,6.399476848,0.858340995,0.955129719,0.240639883
12.64911064,7.180331118,0.838986188,0.954238958,0.233181284
14.19253557,8.056464024,0.822799792,0.953487885,0.226763576
15.92428682,9.039501309,0.809247562,0.952962631,0.221503062
17.86734369,10.14248729,0.798087444,0.952607032,0.217251567
20.04748935,11.38005791,0.789199519,0.952498311,0.213556853
22.49365301,12.76863499,0.781863363,0.952083508,0.210395926
25.23829378,14.32664409,0.776036341,0.952212075,0.208112541
28.31783138,16.07475906,0.771209905,0.952174691,0.206333162
31.77312939,18.03617631,0.767388929,0.951966111,0.204647388
35.65003753,20.23692267,0.76435418,0.951892599,0.203381668
40,22.70620069,0.761889569,0.951707608,0.202305343
44.88073817,25.4767762,0.759921779,0.951891027,0.20177749
50.35701647,28.58541305,0.758361839,0.95179046,0.201127165
56.50150178,32.07336097,0.75689854,0.951519171,0.200681119
63.3957277,35.9869029,0.755916999,0.951400214,0.200215045
71.1311764,40.37796917,0.755370218,0.951527938,0.199817341
79.8104926,45.30482655,0.754763859,0.951214318,0.199297057
89.54884554,50.83285146,0.754348402,0.951287649,0.199128841
100.4754573,57.03539744,0.75397263,0.951503174,0.199212614
112.7353173,63.99476848,0.753957124,0.951762236,0.199086059
126.4911064,71.80331118,0.753727634,0.951739787,0.198983522
141.9253557,80.56464024,0.753827498,0.952002094,0.198901691
159.2428682,90.39501309,0.753688776,0.951985806,0.198837565
178.6734369,101.4248729,0.753582589,0.951868185,0.198683779
200.4748935,113.8005791,0.753499519,0.951856063,0.198643666
224.9365301,127.6863499,0.753438658,0.951793061,0.198558729
252.3829378,143.2664409,0.753397917,0.951797598,0.198538627
283.1783138,160.7475906,0.753353738,0.951777459,0.19851429
317.7312939,180.3617631,0.753325825,0.951770703,0.198498777
356.5003753,202.3692267,0.753383795,0.951898138,0.198538371
400,227.0620069,0.753368829,0.951893181,0.198528944
